읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 전재수,국민의힘 박형준,개혁신당 정이한,계,무효 투표수,기권자수
합계,,98584,77489,47905,27579,937,76421,1068,21095
관외사전투표,,9589,9579,6724,2599,159,9482,97,10
구포제1동,계,13117,8982,4840,3835,104,8779,203,4135
구포제1동,관내사전투표,3049,3037,2014,908,30,2952,85,12
구포제1동,선거일투표,10068,5945,2826,2927,74,5827,118,4123
구포제2동,계,3131,3115,2098,928,46,3072,43,16
구포제2동,관내사전투표,3131,3115,2098,928,46,3072,43,16
구포제3동,계,14585,9200,4963,3929,104,8996,204,5385
구포제3동,관내사전투표,3317,3307,2257,937,35,3229,78,10
구포제3동,선거일투표,11268,5893,2706,2992,69,5767,126,5375
금곡동,계,3877,3865,2745,1035,59,3839,26,12
금곡동,관내사전투표,3877,3865,2745,1035,59,3839,26,12
화명제1동,계,4235,4214,3065,1070,61,4196,18,21
화명제1동,관내사전투표,4235,4214,3065,1070,61,4196,18,21
화명제2동,계,13422,8575,4480,3912,103,8495,80,4847
화명제2동,관내사전투표,2366,2355,1677,637,27,2341,14,11
화명제2동,선거일투표,11056,6220,2803,3275,76,6154,66,4836
화명제3동,계,4075,4072,3029,975,49,4053,19,3
화명제3동,관내사전투표,4075,4072,3029,975,49,4053,19,3
덕천제1동,계,2323,2313,1561,711,15,2287,26,10
덕천제1동,관내사전투표,2323,2313,1561,711,15,2287,26,10
덕천제2동,계,1897,1896,1253,586,18,1857,39,1
덕천제2동,관내사전투표,1897,1896,1253,586,18,1857,39,1
덕천제3동,계,7934,5103,2606,2314,66,4986,117,2831
덕천제3동,관내사전투표,1661,1654,1092,519,12,1623,31,7
덕천제3동,선거일투표,6273,3449,1514,1795,54,3363,86,2824
만덕제1동,계,12696,8896,5242,3477,86,8805,91,3800
만덕제1동,관내사전투표,2734,2721,1974,707,19,2700,21,13
만덕제1동,선거일투표,9962,6175,3268,2770,67,6105,70,3787
만덕제2동,계,4211,4196,2937,1166,37,4140,56,15
만덕제2동,관내사전투표,4211,4196,2937,1166,37,4140,56,15
만덕제3동,계,3492,3483,2362,1042,30,3434,49,9
만덕제3동,관내사전투표,3492,3483,2362,1042,30,3434,49,9
