읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 전재수,국민의힘 박형준,개혁신당 정이한,계,무효 투표수,기권자수
합계,,5067,5064,2994,1927,52,4973,91,3
동대신제1동,계,837,837,500,317,9,826,11,0
동대신제1동,관내사전투표,837,837,500,317,9,826,11,0
서대신제3동,계,1321,1320,873,423,13,1309,11,1
서대신제3동,관내사전투표,1321,1320,873,423,13,1309,11,1
아미동,계,706,706,409,263,11,683,23,0
아미동,관내사전투표,706,706,409,263,11,683,23,0
초장동,계,549,549,288,245,4,537,12,0
초장동,관내사전투표,549,549,288,245,4,537,12,0
남부민제1동,계,699,697,382,291,7,680,17,2
남부민제1동,관내사전투표,699,697,382,291,7,680,17,2
남부민제2동,계,955,955,542,388,8,938,17,0
남부민제2동,관내사전투표,955,955,542,388,8,938,17,0
