읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 전재수,국민의힘 박형준,개혁신당 정이한,계,무효 투표수,기권자수
합계,,67212,50073,28096,20571,768,49435,638,17139
관외사전투표,,5483,5464,3645,1658,103,5406,58,19
거제제1동,계,2738,2735,2012,656,49,2717,18,3
거제제1동,관내사전투표,2738,2735,2012,656,49,2717,18,3
거제제2동,계,2828,2827,2025,739,42,2806,21,1
거제제2동,관내사전투표,2828,2827,2025,739,42,2806,21,1
거제제3동,계,7986,5110,2149,2808,79,5036,74,2876
거제제3동,관내사전투표,1632,1630,988,597,21,1606,24,2
거제제3동,선거일투표,6354,3480,1161,2211,58,3430,50,2874
거제제4동,계,7616,4626,2105,2367,73,4545,81,2990
거제제4동,관내사전투표,1442,1440,933,470,18,1421,19,2
거제제4동,선거일투표,6174,3186,1172,1897,55,3124,62,2988
연산제1동,계,12444,7723,3541,3962,103,7606,117,4721
연산제1동,관내사전투표,2094,2094,1354,679,24,2057,37,0
연산제1동,선거일투표,10350,5629,2187,3283,79,5549,80,4721
연산제2동,계,2845,2845,1961,793,45,2799,46,0
연산제2동,관내사전투표,2845,2845,1961,793,45,2799,46,0
연산제3동,계,1415,1414,941,449,17,1407,7,1
연산제3동,관내사전투표,1415,1414,941,449,17,1407,7,1
연산제4동,계,15146,8625,3876,4515,123,8514,111,6521
연산제4동,관내사전투표,2242,2241,1417,778,19,2214,27,1
연산제4동,선거일투표,12904,6384,2459,3737,104,6300,84,6520
연산제5동,계,2240,2237,1507,660,41,2208,29,3
연산제5동,관내사전투표,2240,2237,1507,660,41,2208,29,3
연산제6동,계,1545,1543,967,533,21,1521,22,2
연산제6동,관내사전투표,1545,1543,967,533,21,1521,22,2
연산제8동,계,1778,1777,1170,559,27,1756,21,1
연산제8동,관내사전투표,1778,1777,1170,559,27,1756,21,1
연산제9동,계,3148,3147,2197,872,45,3114,33,1
연산제9동,관내사전투표,3148,3147,2197,872,45,3114,33,1
