읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 정원오,국민의힘 오세훈,개혁신당 김정철,여성의당 유지혜,정의당 권영국,계,무효 투표수,기권자수
합계,,17102,17099,8928,7699,161,88,117,16993,106,3
신사동,계,1556,1555,659,871,8,7,3,1548,7,1
신사동,관내사전투표,1556,1555,659,871,8,7,3,1548,7,1
논현2동,계,1578,1578,829,709,11,7,13,1569,9,0
논현2동,관내사전투표,1578,1578,829,709,11,7,13,1569,9,0
대치1동,계,2166,2166,767,1347,23,8,14,2159,7,0
대치1동,관내사전투표,2166,2166,767,1347,23,8,14,2159,7,0
대치4동,계,2392,2392,1426,885,34,17,19,2381,11,0
대치4동,관내사전투표,2392,2392,1426,885,34,17,19,2381,11,0
도곡2동,계,1839,1839,759,1029,21,11,14,1834,5,0
도곡2동,관내사전투표,1839,1839,759,1029,21,11,14,1834,5,0
개포3동,계,2688,2688,1466,1135,26,12,20,2659,29,0
개포3동,관내사전투표,2688,2688,1466,1135,26,12,20,2659,29,0
개포4동,계,3200,3198,1964,1152,26,17,20,3179,19,2
개포4동,관내사전투표,3200,3198,1964,1152,26,17,20,3179,19,2
일원1동,계,1683,1683,1058,571,12,9,14,1664,19,0
일원1동,관내사전투표,1683,1683,1058,571,12,9,14,1664,19,0
