읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 정원오,국민의힘 오세훈,개혁신당 김정철,여성의당 유지혜,정의당 권영국,계,무효 투표수,기권자수
합계,,14176,14174,9583,3894,174,117,248,14016,158,2
낙성대동,계,2394,2394,1545,704,33,28,54,2364,30,0
낙성대동,관내사전투표,2394,2394,1545,704,33,28,54,2364,30,0
서원동,계,2859,2859,1932,770,51,26,45,2824,35,0
서원동,관내사전투표,2859,2859,1932,770,51,26,45,2824,35,0
신원동,계,3227,3227,2127,936,29,33,57,3182,45,0
신원동,관내사전투표,3227,3227,2127,936,29,33,57,3182,45,0
서림동,계,2091,2091,1451,547,27,15,34,2074,17,0
서림동,관내사전투표,2091,2091,1451,547,27,15,34,2074,17,0
삼성동,계,3605,3603,2528,937,34,15,58,3572,31,2
삼성동,관내사전투표,3605,3603,2528,937,34,15,58,3572,31,2
