읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 정원오,국민의힘 오세훈,개혁신당 김정철,여성의당 유지혜,정의당 권영국,계,무효 투표수,기권자수
합계,,23840,23810,16604,6363,185,131,303,23586,224,30
거소투표,,342,318,154,139,4,2,4,303,15,24
관외사전투표,,3038,3035,1998,919,31,16,44,3008,27,3
구로제3동,계,3793,3791,2720,917,41,25,53,3756,35,2
구로제3동,관내사전투표,3793,3791,2720,917,41,25,53,3756,35,2
구로제4동,계,2222,2222,1537,614,10,8,17,2186,36,0
구로제4동,관내사전투표,2222,2222,1537,614,10,8,17,2186,36,0
구로제5동,계,3508,3508,2499,893,26,23,40,3481,27,0
구로제5동,관내사전투표,3508,3508,2499,893,26,23,40,3481,27,0
가리봉동,계,1217,1217,832,327,14,11,15,1199,18,0
가리봉동,관내사전투표,1217,1217,832,327,14,11,15,1199,18,0
고척제2동,계,3512,3511,2440,957,27,17,43,3484,27,1
고척제2동,관내사전투표,3512,3511,2440,957,27,17,43,3484,27,1
개봉제3동,계,2976,2976,2063,831,14,14,30,2952,24,0
개봉제3동,관내사전투표,2976,2976,2063,831,14,14,30,2952,24,0
항동,계,3232,3232,2361,766,18,15,57,3217,15,0
항동,관내사전투표,3232,3232,2361,766,18,15,57,3217,15,0
