읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,투표구명,선거인수,투표수,더불어민주당 이재명,국민의힘 김문수,개혁신당 이준석,민주노동당 권영국,무소속 송진호,계,무효 투표수,기권자수
합계,,206121,161132,83102,58686,15979,1775,175,159717,1415,44989
거소·선상투표,,303,285,122,98,47,0,2,269,16,18
관외사전투표,,22852,22849,14054,5077,3122,311,21,22585,264,3
재외투표,,1110,880,628,141,91,12,0,872,8,230
가산동,소계,21373,15685,7438,5402,2410,231,18,15499,186,5688
,관내사전투표,5759,5759,3673,1057,870,89,6,5695,64,0
,가산동제1투,3403,2127,741,932,380,35,2,2090,37,1276
,가산동제2투,3470,1985,757,856,318,27,2,1960,25,1485
,가산동제3투,2680,1979,776,955,200,27,2,1960,19,701
,가산동제4투,3234,2013,767,848,341,28,5,1989,24,1221
,가산동제5투,810,519,227,229,58,1,0,515,4,291
,가산동제6투,2017,1303,497,525,243,24,1,1290,13,714
독산제1동,소계,35661,27242,12883,10448,3291,335,31,26988,254,8419
,관내사전투표,6560,6560,4345,1312,747,84,8,6496,64,0
,독산제1동제1투,4021,2503,918,1149,369,31,4,2471,32,1518
,독산제1동제2투,2585,1589,649,628,270,23,2,1572,17,996
,독산제1동제3투,3935,2580,1019,1073,427,35,1,2555,25,1355
,독산제1동제4투,3026,2335,1044,1023,225,28,2,2322,13,691
,독산제1동제5투,2262,1608,726,740,108,13,3,1590,18,654
,독산제1동제6투,2976,2246,841,1177,178,29,3,2228,18,730
,독산제1동제7투,3520,2878,1209,1325,288,40,3,2865,13,642
,독산제1동제8투,2682,2101,920,887,251,24,1,2083,18,581
,독산제1동제9투,4094,2842,1212,1134,428,28,4,2806,36,1252
독산제2동,소계,14494,10377,5449,3915,825,85,13,10287,90,4117
,관내사전투표,4258,4258,2935,995,267,28,5,4230,28,0
,독산제2동제1투,1728,1101,471,490,105,17,3,1086,15,627
,독산제2동제2투,1846,1090,385,578,110,9,2,1084,6,756
,독산제2동제3투,1504,909,358,441,89,11,0,899,10,595
,독산제2동제4투,1619,959,390,460,91,6,1,948,11,660
,독산제2동제5투,1688,972,413,454,84,9,1,961,11,716
,독산제2동제6투,1851,1088,497,497,79,5,1,1079,9,763
독산제3동,소계,18804,13851,7232,5250,1097,144,11,13734,117,4953
,관내사전투표,5140,5140,3595,1124,324,48,4,5095,45,0
,독산제3동제1투,2461,1575,657,758,131,15,2,1563,12,886
,독산제3동제2투,2456,1683,735,786,128,20,1,1670,13,773
,독산제3동제3투,2292,1430,553,718,127,17,1,1416,14,862
,독산제3동제4투,2053,1141,466,532,119,10,1,1128,13,912
,독산제3동제5투,2045,1312,544,633,114,10,0,1301,11,733
,독산제3동제6투,2357,1570,682,699,154,24,2,1561,9,787
독산제4동,소계,12217,9059,4890,3390,632,87,7,9006,53,3158
,관내사전투표,4128,4128,2844,1012,225,31,3,4115,13,0
,독산제4동제1투,2101,1286,477,689,97,12,1,1276,10,815
,독산제4동제2투,2204,1311,514,657,106,22,1,1300,11,893
,독산제4동제3투,1584,947,408,439,81,9,0,937,10,637
,독산제4동제4투,2200,1387,647,593,123,13,2,1378,9,813
시흥제1동,소계,25445,18997,9352,7729,1547,199,20,18847,150,6448
,관내사전투표,6902,6902,4543,1790,454,63,4,6854,48,0
,시흥제1동제1투,2253,1581,614,757,169,27,4,1571,10,672
,시흥제1동제2투,3298,2272,912,1040,270,23,5,2250,22,1026
,시흥제1동제3투,2251,1703,678,869,124,20,3,1694,9,548
,시흥제1동제4투,1660,854,357,403,74,9,0,843,11,806
,시흥제1동제5투,1925,1105,456,542,83,9,1,1091,14,820
,시흥제1동제6투,1740,1112,440,566,87,9,2,1104,8,628
,시흥제1동제7투,1593,985,376,526,64,12,0,978,7,608
,시흥제1동제8투,2121,1125,431,561,110,14,1,1117,8,996
,시흥제1동제9투,1702,1358,545,675,112,13,0,1345,13,344
시흥제2동,소계,15239,12422,6095,5193,931,107,6,12332,90,2817
,관내사전투표,4080,4080,2760,990,283,29,1,4063,17,0
,시흥제2동제1투,1542,1018,362,530,106,7,1,1006,12,524
,시흥제2동제2투,1803,1313,540,670,80,11,0,1301,12,490
,시흥제2동제3투,2159,1659,565,942,129,14,3,1653,6,500
,시흥제2동제4투,2345,1904,751,985,131,19,1,1887,17,441
,시흥제2동제5투,2071,1610,792,625,157,21,0,1595,15,461
,시흥제2동제6투,1239,838,325,451,45,6,0,827,11,401
시흥제3동,소계,8623,6923,3506,2804,501,64,9,6884,39,1700
,관내사전투표,2941,2941,2014,716,177,20,2,2929,12,0
,시흥제3동제1투,1907,1286,455,697,108,13,3,1276,10,621
,시흥제3동제2투,1323,922,355,466,77,17,0,915,7,401
,시흥제3동제3투,1477,1034,381,567,73,6,4,1031,3,443
,시흥제3동제4투,975,740,301,358,66,8,0,733,7,235
시흥제4동,소계,14894,11130,5590,4650,709,85,20,11054,76,3764
,관내사전투표,3941,3941,2681,1000,200,25,5,3911,30,0
,시흥제4동제1투,2055,1340,566,659,92,9,6,1332,8,715
,시흥제4동제2투,1615,928,340,508,59,14,2,923,5,687
,시흥제4동제3투,1562,1039,395,549,83,6,1,1034,5,523
,시흥제4동제4투,1903,1420,594,704,106,5,2,1411,9,483
,시흥제4동제5투,1903,1205,475,629,82,11,1,1198,7,698
,시흥제4동제6투,1915,1257,539,601,87,15,3,1245,12,658
시흥제5동,소계,15106,11432,5863,4589,776,115,17,11360,72,3674
,관내사전투표,5348,5348,3551,1433,276,46,9,5315,33,0
,시흥제5동제1투,1664,1035,379,562,80,12,0,1033,2,629
,시흥제5동제2투,2239,1348,557,649,111,19,2,1338,10,891
,시흥제5동제3투,2276,1476,549,792,112,15,2,1470,6,800
,시흥제5동제4투,1862,1139,425,590,105,8,2,1130,9,723
,시흥제5동제5투,1717,1086,402,563,92,15,2,1074,12,631
잘못 투입·구분된 투표지,,0,0,0,0,0,0,0,0,0,0
