읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 정원오,국민의힘 오세훈,개혁신당 김정철,여성의당 유지혜,정의당 권영국,계,무효 투표수,기권자수
합계,,40085,40040,27012,11728,287,241,445,39713,327,45
거소투표,,509,474,186,249,12,3,4,454,20,35
월계1동,계,3845,3844,2568,1163,28,27,23,3809,35,1
월계1동,관내사전투표,3845,3844,2568,1163,28,27,23,3809,35,1
월계2동,계,3579,3576,2427,1033,14,23,42,3539,37,3
월계2동,관내사전투표,3579,3576,2427,1033,14,23,42,3539,37,3
월계3동,계,2538,2537,1667,804,11,9,29,2520,17,1
월계3동,관내사전투표,2538,2537,1667,804,11,9,29,2520,17,1
하계1동,계,2995,2994,1985,882,38,21,27,2953,41,1
하계1동,관내사전투표,2995,2994,1985,882,38,21,27,2953,41,1
하계2동,계,3048,3048,2107,852,16,22,30,3027,21,0
하계2동,관내사전투표,3048,3048,2107,852,16,22,30,3027,21,0
중계본동,계,2955,2955,2094,742,18,28,45,2927,28,0
중계본동,관내사전투표,2955,2955,2094,742,18,28,45,2927,28,0
중계1동,계,3752,3752,2585,1063,27,22,39,3736,16,0
중계1동,관내사전투표,3752,3752,2585,1063,27,22,39,3736,16,0
중계4동,계,3000,2998,2141,778,15,10,31,2975,23,2
중계4동,관내사전투표,3000,2998,2141,778,15,10,31,2975,23,2
상계2동,계,3448,3447,2244,1087,27,23,41,3422,25,1
상계2동,관내사전투표,3448,3447,2244,1087,27,23,41,3422,25,1
상계5동,계,3466,3466,2403,963,26,17,33,3442,24,0
상계5동,관내사전투표,3466,3466,2403,963,26,17,33,3442,24,0
상계8동,계,3731,3731,2529,1082,25,22,58,3716,15,0
상계8동,관내사전투표,3731,3731,2529,1082,25,22,58,3716,15,0
상계10동,계,3219,3218,2076,1030,30,14,43,3193,25,1
상계10동,관내사전투표,3219,3218,2076,1030,30,14,43,3193,25,1
