읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 정원오,국민의힘 오세훈,개혁신당 김정철,여성의당 유지혜,정의당 권영국,계,무효 투표수,기권자수
합계,,46776,42060,27181,13742,206,231,348,41708,352,4716
쌍문1동,계,3064,3064,2128,851,13,22,33,3047,17,0
쌍문1동,관내사전투표,3064,3064,2128,851,13,22,33,3047,17,0
쌍문2동,계,2794,2794,1912,806,15,20,20,2773,21,0
쌍문2동,관내사전투표,2794,2794,1912,806,15,20,20,2773,21,0
쌍문3동,계,2894,2894,1968,839,18,19,28,2872,22,0
쌍문3동,관내사전투표,2894,2894,1968,839,18,19,28,2872,22,0
쌍문4동,계,2929,2929,1923,926,11,26,24,2910,19,0
쌍문4동,관내사전투표,2929,2929,1923,926,11,26,24,2910,19,0
방학2동,계,3175,3175,2186,909,11,13,24,3143,32,0
방학2동,관내사전투표,3175,3175,2186,909,11,13,24,3143,32,0
방학3동,계,5213,5211,3523,1567,27,28,35,5180,31,2
방학3동,관내사전투표,5213,5211,3523,1567,27,28,35,5180,31,2
창1동,계,3710,3710,2361,1252,21,17,34,3685,25,0
창1동,관내사전투표,3710,3710,2361,1252,21,17,34,3685,25,0
창3동,계,10672,5960,3151,2594,28,28,60,5861,99,4712
창3동,관내사전투표,2085,2085,1404,629,6,9,20,2068,17,0
창3동,선거일투표,8587,3875,1747,1965,22,19,40,3793,82,4712
창4동,계,4112,4112,2679,1342,27,15,29,4092,20,0
창4동,관내사전투표,4112,4112,2679,1342,27,15,29,4092,20,0
창5동,계,4278,4276,2718,1446,19,29,38,4250,26,2
창5동,관내사전투표,4278,4276,2718,1446,19,29,38,4250,26,2
도봉1동,계,3935,3935,2632,1210,16,14,23,3895,40,0
도봉1동,관내사전투표,3935,3935,2632,1210,16,14,23,3895,40,0
