읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,투표구명,선거인수,투표수,더불어민주당 이재명,국민의힘 김문수,개혁신당 이준석,민주노동당 권영국,무소속 송진호,계,무효 투표수,기권자수
합계,,307846,246264,117631,97549,25928,2886,245,244239,2025,61582
거소·선상투표,,394,369,166,111,65,4,3,349,20,25
관외사전투표,,36619,36608,21374,8798,5448,547,43,36210,398,11
재외투표,,2482,1932,1296,400,195,26,1,1918,14,550
용신동,소계,29331,21793,9765,9397,2228,221,18,21629,164,7538
,관내사전투표,6789,6788,4414,1701,579,46,4,6744,44,1
,용신동제1투,2452,1554,463,920,144,14,1,1542,12,898
,용신동제2투,2341,1461,550,723,158,16,2,1449,12,880
,용신동제3투,4178,2762,991,1453,277,21,3,2745,17,1416
,용신동제4투,2103,1439,514,741,158,18,1,1432,7,664
,용신동제5투,2678,1817,654,899,221,24,3,1801,16,861
,용신동제6투,3688,2436,871,1201,301,39,0,2412,24,1252
,용신동제7투,2508,1719,610,873,197,22,2,1704,15,789
,용신동제8투,2594,1817,698,886,193,21,2,1800,17,777
제기동,소계,18480,13827,5972,6155,1398,163,18,13706,121,4653
,관내사전투표,4877,4877,2971,1350,458,55,4,4838,39,0
,제기동제1투,2345,1366,443,809,82,15,2,1351,15,979
,제기동제2투,2288,1578,510,909,121,18,4,1562,16,710
,제기동제3투,2319,1390,430,765,164,16,3,1378,12,929
,제기동제4투,2395,1601,567,779,218,22,4,1590,11,794
,제기동제5투,2158,1572,537,791,208,19,0,1555,17,586
,제기동제6투,2098,1443,514,752,147,18,1,1432,11,655
청량리동,소계,16093,12222,5269,5732,991,131,10,12133,89,3871
,관내사전투표,4545,4545,2686,1329,436,53,3,4507,38,0
,청량리동제1투,1635,973,352,507,97,8,1,965,8,662
,청량리동제2투,2415,1860,737,964,126,21,2,1850,10,555
,청량리동제3투,988,669,234,367,48,9,1,659,10,319
,청량리동제4투,1644,1038,382,581,65,5,1,1034,4,606
,청량리동제5투,1969,1303,429,767,81,17,2,1296,7,666
