읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 정원오,국민의힘 오세훈,개혁신당 김정철,여성의당 유지혜,정의당 권영국,계,무효 투표수,기권자수
합계,,106252,73189,38467,31566,537,898,989,72457,732,33063
거소투표,,276,262,125,115,3,0,6,249,13,14
관외사전투표,,2874,2874,1800,949,32,27,44,2852,22,0
충현동,계,1949,1948,1274,593,19,22,18,1926,22,1
충현동,관내사전투표,1949,1948,1274,593,19,22,18,1926,22,1
천연동,계,2913,2913,1869,949,24,13,37,2892,21,0
천연동,관내사전투표,2913,2913,1869,949,24,13,37,2892,21,0
북아현동,계,2997,2996,1915,948,26,38,50,2977,19,1
북아현동,관내사전투표,2997,2996,1915,948,26,38,50,2977,19,1
신촌동,계,17524,8300,3256,4190,114,460,181,8201,99,9224
신촌동,관내사전투표,1526,1524,904,463,30,79,38,1514,10,2
신촌동,선거일투표,15998,6776,2352,3727,84,381,143,6687,89,9222
홍제제1동,계,2482,2481,1602,807,11,10,38,2468,13,1
홍제제1동,관내사전투표,2482,2481,1602,807,11,10,38,2468,13,1
홍제제2동,계,7648,4531,1692,2664,35,37,45,4473,58,3117
홍제제2동,선거일투표,7648,4531,1692,2664,35,37,45,4473,58,3117
홍제제3동,계,14293,9000,4545,4131,54,61,92,8883,117,5293
홍제제3동,관내사전투표,2707,2705,1858,762,21,9,32,2682,23,2
홍제제3동,선거일투표,11586,6295,2687,3369,33,52,60,6201,94,5291
홍은제1동,계,19620,12706,6636,5619,62,74,168,12559,147,6914
홍은제1동,관내사전투표,4304,4303,3041,1126,29,10,69,4275,28,1
홍은제1동,선거일투표,15316,8403,3595,4493,33,64,99,8284,119,6913
남가좌제1동,계,14483,10521,5414,4762,62,72,135,10445,76,3962
남가좌제1동,관내사전투표,4351,4346,2888,1326,27,23,59,4323,23,5
남가좌제1동,선거일투표,10132,6175,2526,3436,35,49,76,6122,53,3957
북가좌제1동,계,14599,10067,5129,4592,71,58,121,9971,96,4532
북가좌제1동,관내사전투표,4189,4185,2809,1251,21,17,56,4154,31,4
북가좌제1동,선거일투표,10410,5882,2320,3341,50,41,65,5817,65,4528
북가좌제2동,계,4594,4590,3210,1247,24,26,54,4561,29,4
북가좌제2동,관내사전투표,4594,4590,3210,1247,24,26,54,4561,29,4
