읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 정원오,국민의힘 오세훈,개혁신당 김정철,여성의당 유지혜,정의당 권영국,계,무효 투표수,기권자수
합계,,19573,19570,11440,7568,158,100,166,19432,138,3
풍납1동,계,2444,2442,1569,804,13,12,18,2416,26,2
풍납1동,관내사전투표,2444,2442,1569,804,13,12,18,2416,26,2
송파1동,계,3872,3872,2589,1158,39,23,33,3842,30,0
송파1동,관내사전투표,3872,3872,2589,1158,39,23,33,3842,30,0
가락본동,계,3240,3240,1963,1167,33,22,38,3223,17,0
가락본동,관내사전투표,3240,3240,1963,1167,33,22,38,3223,17,0
문정1동,계,2836,2835,1784,948,38,14,28,2812,23,1
문정1동,관내사전투표,2836,2835,1784,948,38,14,28,2812,23,1
잠실2동,계,4346,4346,2255,1991,24,17,35,4322,24,0
잠실2동,관내사전투표,4346,4346,2255,1991,24,17,35,4322,24,0
잠실3동,계,2835,2835,1280,1500,11,12,14,2817,18,0
잠실3동,관내사전투표,2835,2835,1280,1500,11,12,14,2817,18,0
