읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 정원오,국민의힘 오세훈,개혁신당 김정철,여성의당 유지혜,정의당 권영국,계,무효 투표수,기권자수
합계,,37229,37223,23826,12414,236,183,324,36983,240,6
목1동,계,2803,2802,1603,1138,22,12,17,2792,10,1
목1동,관내사전투표,2803,2802,1603,1138,22,12,17,2792,10,1
목2동,계,4531,4529,3128,1240,42,29,51,4490,39,2
목2동,관내사전투표,4531,4529,3128,1240,42,29,51,4490,39,2
목3동,계,3325,3325,2173,1053,28,15,28,3297,28,0
목3동,관내사전투표,3325,3325,2173,1053,28,15,28,3297,28,0
목5동,계,5043,5041,2789,2134,23,25,52,5023,18,2
목5동,관내사전투표,5043,5041,2789,2134,23,25,52,5023,18,2
신월1동,계,2767,2767,1919,785,8,15,13,2740,27,0
신월1동,관내사전투표,2767,2767,1919,785,8,15,13,2740,27,0
신월5동,계,2897,2897,2026,796,10,26,24,2882,15,0
신월5동,관내사전투표,2897,2897,2026,796,10,26,24,2882,15,0
신월7동,계,2829,2829,1956,797,16,14,14,2797,32,0
신월7동,관내사전투표,2829,2829,1956,797,16,14,14,2797,32,0
신정1동,계,2334,2334,1440,845,17,9,15,2326,8,0
신정1동,관내사전투표,2334,2334,1440,845,17,9,15,2326,8,0
신정2동,계,4270,4270,2838,1320,26,15,40,4239,31,0
신정2동,관내사전투표,4270,4270,2838,1320,26,15,40,4239,31,0
신정3동,계,3627,3626,2413,1124,19,11,42,3609,17,1
신정3동,관내사전투표,3627,3626,2413,1124,19,11,42,3609,17,1
신정6동,계,2803,2803,1541,1182,25,12,28,2788,15,0
신정6동,관내사전투표,2803,2803,1541,1182,25,12,28,2788,15,0
