읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,투표구명,선거인수,투표수,더불어민주당 이재명,국민의힘 김문수,개혁신당 이준석,민주노동당 권영국,무소속 송진호,계,무효 투표수,기권자수
합계,,335136,271596,123593,111861,29911,3607,231,269203,2393,63540
거소·선상투표,,409,385,149,141,77,3,2,372,13,24
관외사전투표,,37119,37104,20757,9649,5660,592,35,36693,411,15
재외투표,,3195,2546,1595,613,263,48,3,2522,24,649
영등포본동,소계,16893,13313,6339,5479,1201,166,12,13197,116,3580
,관내사전투표,4786,4786,3105,1172,401,64,7,4749,37,0
,영등포본동제1투,2091,1485,564,761,137,10,0,1472,13,606
,영등포본동제2투,2793,1766,680,907,137,22,0,1746,20,1027
,영등포본동제3투,2554,1531,529,816,148,19,3,1515,16,1023
,영등포본동제4투,2081,1621,630,794,157,20,1,1602,19,460
,영등포본동제5투,2588,2124,831,1029,221,31,1,2113,11,464
영등포동,소계,24290,17759,7119,7501,2650,274,12,17556,203,6531
,관내사전투표,5432,5432,3174,1345,763,90,2,5374,58,0
,영등포동제1투,4442,2788,847,1283,585,37,2,2754,34,1654
,영등포동제2투,3453,1902,646,934,270,26,1,1877,25,1551
,영등포동제3투,2617,1805,623,940,192,28,3,1786,19,812
,영등포동제4투,3026,1956,633,895,363,39,0,1930,26,1070
,영등포동제5투,2936,2010,624,1064,258,38,4,1988,22,926
,영등포동제6투,2384,1866,572,1040,219,16,0,1847,19,518
여의동,소계,27127,21406,6077,13049,1932,231,6,21295,111,5721
,관내사전투표,5462,5462,2795,1912,650,74,3,5434,28,0
,여의동제1투,2553,1935,430,1323,144,29,0,1926,9,618
,여의동제2투,2757,1877,302,1406,127,24,1,1860,17,880
,여의동제3투,2444,1856,414,1259,155,16,0,1844,12,588
,여의동제4투,3083,2193,402,1600,172,14,1,2189,4,890
,여의동제5투,2889,2195,489,1473,200,23,0,2185,10,694
,여의동제6투,2787,2061,428,1439,175,16,0,2058,3,726
,여의동제7투,3138,2372,391,1789,163,13,0,2356,16,766
,여의동제8투,2014,1455,426,848,146,22,1,1443,12,559
당산제1동,소계,18436,14899,6748,5994,1755,234,18,14749,150,3537
,관내사전투표,5900,5900,3642,1432,658,108,4,5844,56,0
,당산제1동제1투,1533,1102,406,534,128,15,5,1088,14,431
,당산제1동제2투,2546,1781,644,893,205,25,1,1768,13,765
,당산제1동제3투,3077,2362,885,1121,301,29,5,2341,21,715
,당산제1동제4투,3056,2019,569,1144,248,34,2,1997,22,1037
,당산제1동제5투,2324,1735,602,870,215,23,1,1711,24,589
당산제2동,소계,26952,21717,8666,9981,2535,326,12,21520,197,5235
,관내사전투표,5549,5549,3302,1513,597,84,5,5501,48,0
,당산제2동제1투,3636,2563,868,1228,393,48,1,2538,25,1073
,당산제2동제2투,2409,1711,504,990,174,24,1,1693,18,698
,당산제2동제3투,3483,2620,899,1350,314,35,4,2602,18,863
,당산제2동제4투,2055,1700,600,924,132,28,0,1684,16,355
,당산제2동제5투,2906,2336,625,1457,224,21,0,2327,9,570
,당산제2동제6투,3226,2510,887,1258,298,35,1,2479,31,716
,당산제2동제7투,1943,1431,560,579,237,35,0,1411,20,512
,당산제2동제8투,1745,1297,421,682,166,16,0,1285,12,448
도림동,소계,14622,11241,5496,4418,1091,126,15,11146,95,3381
,관내사전투표,4381,4381,2933,963,404,53,4,4357,24,0
,도림동제1투,2492,1588,596,858,114,9,3,1580,8,904
,도림동제2투,2232,1400,515,692,157,18,2,1384,16,832
,도림동제3투,2748,1877,714,873,232,22,3,1844,33,871
,도림동제4투,2769,1995,738,1032,184,24,3,1981,14,774
문래동,소계,23895,19769,9147,8274,1953,261,14,19649,120,4126
,관내사전투표,5832,5832,3821,1355,550,69,6,5801,31,0
,문래동제1투,1364,757,250,417,75,9,1,752,5,607
,문래동제2투,2535,2016,715,1070,195,29,0,2009,7,519
,문래동제3투,2685,2090,760,1027,244,42,0,2073,17,595
,문래동제4투,2311,1837,499,1164,148,12,4,1827,10,474
,문래동제5투,2888,2185,845,1108,182,36,0,2171,14,703
,문래동제6투,3152,2545,1170,1029,283,38,3,2523,22,607
,문래동제7투,3128,2507,1087,1104,276,26,0,2493,14,621
양평제1동,소계,14723,11795,5594,4489,1403,188,8,11682,113,2928
,관내사전투표,4562,4564,2935,1003,514,72,2,4526,38,-2
,양평제1동제1투,2128,1442,512,713,182,18,1,1426,16,686
,양평제1동제2투,2868,2189,869,1019,251,32,2,2173,16,679
,양평제1동제3투,2888,1938,672,972,240,30,0,1914,24,950
,양평제1동제4투,2277,1662,606,782,216,36,3,1643,19,615
양평제2동,소계,17312,14068,6421,5575,1717,207,10,13930,138,3244
,관내사전투표,4569,4569,2906,1040,529,59,3,4537,32,0
,양평제2동제1투,2400,1873,753,879,204,24,0,1860,13,527
,양평제2동제2투,2164,1568,522,837,162,23,4,1548,20,596
,양평제2동제3투,2253,1564,557,740,222,25,0,1544,20,689
,양평제2동제4투,2580,2059,806,952,250,28,1,2037,22,521
,양평제2동제5투,3346,2435,877,1127,350,48,2,2404,31,911
신길제1동,소계,15048,11085,5030,4636,1156,139,11,10972,113,3963
,관내사전투표,3646,3646,2307,884,366,47,2,3606,40,0
,신길제1동제1투,2565,1657,622,783,211,20,2,1638,19,908
,신길제1동제2투,2223,1350,471,709,138,16,1,1335,15,873
,신길제1동제3투,2157,1316,455,683,144,17,0,1299,17,841
,신길제1동제4투,2207,1429,526,737,133,19,2,1417,12,778
,신길제1동제5투,2250,1687,649,840,164,20,4,1677,10,563
신길제3동,소계,12619,9814,4410,4355,842,110,17,9734,80,2805
,관내사전투표,3284,3284,2071,865,261,44,7,3248,36,0
,신길제3동제1투,1632,997,355,541,85,7,1,989,8,635
,신길제3동제2투,1791,1137,403,618,92,12,2,1127,10,654
,신길제3동제3투,1915,1533,552,812,137,21,1,1523,10,382
,신길제3동제4투,1977,1429,499,781,120,15,6,1421,8,548
,신길제3동제5투,2020,1434,530,738,147,11,0,1426,8,586
신길제4동,소계,9193,7215,3392,3102,587,74,6,7161,54,1978
,관내사전투표,2283,2283,1524,556,160,20,1,2261,22,0
,신길제4동제1투,1494,889,333,461,74,11,1,880,9,605
,신길제4동제2투,1415,871,308,466,78,11,0,863,8,544
,신길제4동제3투,1731,1320,448,761,94,12,2,1317,3,411
,신길제4동제4투,2270,1852,779,858,181,20,2,1840,12,418
신길제5동,소계,7942,6362,3136,2631,468,73,8,6316,46,1580
,관내사전투표,2570,2570,1757,630,142,22,3,2554,16,0
,신길제5동제1투,962,593,211,329,37,10,1,588,5,369
,신길제5동제2투,1972,1611,591,799,175,31,1,1597,14,361
,신길제5동제3투,1459,945,335,521,74,5,2,937,8,514
,신길제5동제4투,979,643,242,352,40,5,1,640,3,336
신길제6동,소계,14910,12014,5519,4992,1235,150,15,11911,103,2896
,관내사전투표,4864,4864,3101,1204,462,58,6,4831,33,0
,신길제6동제1투,1618,1153,398,560,161,22,2,1143,10,465
