읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,투표구명,선거인수,투표수,더불어민주당 이재명,국민의힘 김문수,개혁신당 이준석,민주노동당 권영국,무소속 송진호,계,무효 투표수,기권자수
합계,,183614,143813,58705,67927,13794,2166,102,142694,1119,39801
거소·선상투표,,225,214,79,87,38,4,0,208,6,11
관외사전투표,,20350,20347,10843,6286,2642,368,15,20154,193,3
재외투표,,2860,2178,1205,685,225,44,4,2163,15,682
후암동,소계,11958,8969,4248,3758,743,147,5,8901,68,2989
,관내사전투표,3496,3496,2325,822,272,55,1,3475,21,0
,후암동제1투,2444,1622,587,842,154,23,3,1609,13,822
,후암동제2투,1848,1100,382,594,91,23,1,1091,9,748
,후암동제3투,1979,1273,447,700,96,23,0,1266,7,706
,후암동제4투,2191,1478,507,800,130,23,0,1460,18,713
용산2가동,소계,7169,5225,2403,2226,441,97,6,5173,52,1944
,관내사전투표,2283,2283,1456,599,164,39,2,2260,23,0
,용산2가동제1투,1527,924,280,538,78,15,2,913,11,603
,용산2가동제2투,1238,749,237,420,75,11,0,743,6,489
,용산2가동제3투,983,586,192,315,55,17,2,581,5,397
,용산2가동제4투,1138,683,238,354,69,15,0,676,7,455
남영동,소계,6052,4079,1957,1655,358,63,7,4040,39,1973
,관내사전투표,1767,1767,1153,406,157,32,3,1751,16,0
,남영동제1투,1983,1073,372,571,106,15,1,1065,8,910
,남영동제2투,2302,1239,432,678,95,16,3,1224,15,1063
청파동,소계,14392,10559,5205,4094,977,182,9,10467,92,3833
,관내사전투표,3739,3739,2518,768,353,69,2,3710,29,0
,청파동제1투,1391,873,303,464,80,15,1,863,10,518
,청파동제2투,1574,1033,463,472,82,6,1,1024,9,541
,청파동제3투,1848,1185,526,540,96,15,0,1177,8,663
,청파동제4투,2292,1415,530,713,133,30,0,1406,9,877
,청파동제5투,1942,1277,460,637,142,24,3,1266,11,665
,청파동제6투,1606,1037,405,500,91,23,2,1021,16,569
원효로제1동,소계,13596,10766,4545,4815,1128,186,6,10680,86,2830
,관내사전투표,3930,3930,2454,953,412,78,3,3900,30,0
,원효로제1동제1투,3087,2154,818,1033,226,50,0,2127,27,933
,원효로제1동제2투,2279,1583,439,955,163,19,0,1576,7,696
,원효로제1동제3투,2279,1624,419,1010,160,21,2,1612,12,655
,원효로제1동제4투,2021,1475,415,864,167,18,1,1465,10,546
원효로제2동,소계,10074,7877,3278,3657,733,134,10,7812,65,2197
,관내사전투표,2478,2478,1544,686,192,37,1,2460,18,0
,원효로제2동제1투,3098,2252,708,1260,213,43,5,2229,23,846
,원효로제2동제2투,2211,1595,481,907,161,27,4,1580,15,616
