읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 정원오,국민의힘 오세훈,개혁신당 김정철,여성의당 유지혜,정의당 권영국,계,무효 투표수,기권자수
합계,,11158,11155,7651,3130,69,72,156,11078,77,3
응암제2동,계,3211,3209,2304,797,24,16,50,3191,18,2
응암제2동,관내사전투표,3211,3209,2304,797,24,16,50,3191,18,2
신사제2동,계,2530,2530,1698,751,19,14,35,2517,13,0
신사제2동,관내사전투표,2530,2530,1698,751,19,14,35,2517,13,0
증산동,계,2923,2923,1983,843,16,31,36,2909,14,0
증산동,관내사전투표,2923,2923,1983,843,16,31,36,2909,14,0
갈현제1동,계,2494,2493,1666,739,10,11,35,2461,32,1
갈현제1동,관내사전투표,2494,2493,1666,739,10,11,35,2461,32,1
