읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 정원오,국민의힘 오세훈,개혁신당 김정철,여성의당 유지혜,정의당 권영국,계,무효 투표수,기권자수
합계,,12009,12007,8102,3561,65,56,152,11936,71,2
사직동,계,1296,1296,798,457,5,9,15,1284,12,0
사직동,관내사전투표,1296,1296,798,457,5,9,15,1284,12,0
삼청동,계,304,304,217,78,1,1,6,303,1,0
삼청동,관내사전투표,304,304,217,78,1,1,6,303,1,0
부암동,계,1264,1264,903,323,6,6,23,1261,3,0
부암동,관내사전투표,1264,1264,903,323,6,6,23,1261,3,0
평창동,계,2411,2411,1604,733,20,8,38,2403,8,0
평창동,관내사전투표,2411,2411,1604,733,20,8,38,2403,8,0
종로1·2·3·4가동,계,919,919,574,316,8,4,11,913,6,0
종로1·2·3·4가동,관내사전투표,919,919,574,316,8,4,11,913,6,0
종로5·6가동,계,768,768,519,233,3,1,4,760,8,0
종로5·6가동,관내사전투표,768,768,519,233,3,1,4,760,8,0
이화동,계,1285,1283,879,349,8,12,24,1272,11,2
이화동,관내사전투표,1285,1283,879,349,8,12,24,1272,11,2
창신제2동,계,1393,1393,1006,362,2,5,11,1386,7,0
창신제2동,관내사전투표,1393,1393,1006,362,2,5,11,1386,7,0
창신제3동,계,1319,1319,871,413,7,6,12,1309,10,0
창신제3동,관내사전투표,1319,1319,871,413,7,6,12,1309,10,0
숭인제1동,계,1050,1050,731,297,5,4,8,1045,5,0
숭인제1동,관내사전투표,1050,1050,731,297,5,4,8,1045,5,0
