읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 조상호,국민의힘 최민호,개혁신당 하헌휘,계,무효 투표수,기권자수
합계,,293779,182482,110057,65377,5354,180788,1694,111297
거소투표,,426,407,163,177,27,367,40,19
관외사전투표,,26132,26128,17879,6986,973,25838,290,4
조치원읍,계,33266,16887,8713,7615,335,16663,224,16379
조치원읍,관내사전투표,4293,4290,2989,1175,76,4240,50,3
조치원읍,선거일투표,28973,12597,5724,6440,259,12423,174,16376
연기면,계,2086,1026,490,499,18,1007,19,1060
연기면,관내사전투표,398,398,251,129,11,391,7,0
연기면,선거일투표,1688,628,239,370,7,616,12,1060
연동면,계,2274,1328,528,754,15,1297,31,946
연동면,관내사전투표,369,369,191,168,3,362,7,0
연동면,선거일투표,1905,959,337,586,12,935,24,946
부강면,계,3633,1533,545,928,29,1502,31,2100
부강면,선거일투표,3633,1533,545,928,29,1502,31,2100
금남면,계,6795,4004,1656,2171,81,3908,96,2791
금남면,관내사전투표,1280,1279,751,471,24,1246,33,1
금남면,선거일투표,5515,2725,905,1700,57,2662,63,2790
장군면,계,5483,2453,1118,1262,43,2423,30,3030
장군면,관내사전투표,801,801,535,250,12,797,4,0
장군면,선거일투표,4682,1652,583,1012,31,1626,26,3030
연서면,계,2817,1785,895,838,29,1762,23,1032
연서면,관내사전투표,752,751,497,237,9,743,8,1
연서면,선거일투표,2065,1034,398,601,20,1019,15,1031
전의면,계,4273,2471,1067,1328,31,2426,45,1802
전의면,관내사전투표,845,844,538,284,13,835,9,1
전의면,선거일투표,3428,1627,529,1044,18,1591,36,1801
전동면,계,2590,1377,494,787,27,1308,69,1213
전동면,관내사전투표,425,425,208,164,10,382,43,0
전동면,선거일투표,2165,952,286,623,17,926,26,1213
소정면,계,1708,962,357,573,17,947,15,746
소정면,관내사전투표,374,374,183,177,8,368,6,0
소정면,선거일투표,1334,588,174,396,9,579,9,746
한솔동,계,12600,7943,5048,2638,211,7897,46,4657
한솔동,관내사전투표,2650,2650,2057,526,55,2638,12,0
한솔동,선거일투표,9950,5293,2991,2112,156,5259,34,4657
도담동,계,17737,10781,6361,3968,364,10693,88,6956
도담동,관내사전투표,4182,4173,3104,919,131,4154,19,9
도담동,선거일투표,13555,6608,3257,3049,233,6539,69,6947
아름동,계,11828,6131,3594,2298,197,6089,42,5697
아름동,선거일투표,11828,6131,3594,2298,197,6089,42,5697
종촌동,계,19130,11521,7119,3947,379,11445,76,7609
종촌동,관내사전투표,3941,3932,3015,786,114,3915,17,9
종촌동,선거일투표,15189,7589,4104,3161,265,7530,59,7600
고운동,계,23514,13536,8406,4731,332,13469,67,9978
고운동,관내사전투표,4248,4241,3315,816,92,4223,18,7
고운동,선거일투표,19266,9295,5091,3915,240,9246,49,9971
보람동,계,12882,8032,4928,2832,217,7977,55,4850
보람동,관내사전투표,3076,3076,2332,653,77,3062,14,0
보람동,선거일투표,9806,4956,2596,2179,140,4915,41,4850
새롬동,계,17488,10769,6638,3719,341,10698,71,6719
새롬동,관내사전투표,4168,4167,3114,914,117,4145,22,1
새롬동,선거일투표,13320,6602,3524,2805,224,6553,49,6718
대평동,계,5045,3618,2329,1186,88,3603,15,1427
대평동,관내사전투표,2074,2069,1548,457,57,2062,7,5
대평동,선거일투표,2971,1549,781,729,31,1541,8,1422
소담동,계,11823,7802,5022,2497,231,7750,52,4021
소담동,관내사전투표,3837,3835,2914,798,100,3812,23,2
소담동,선거일투표,7986,3967,2108,1699,131,3938,29,4019
다정동,계,18951,11678,7220,4079,312,11611,67,7273
다정동,관내사전투표,4547,4546,3447,975,107,4529,17,1
다정동,선거일투표,14404,7132,3773,3104,205,7082,50,7272
해밀동,계,15518,9357,6104,2856,346,9306,51,6161
해밀동,관내사전투표,3191,3188,2450,610,114,3174,14,3
해밀동,선거일투표,12327,6169,3654,2246,232,6132,37,6158
반곡동,계,19156,11681,7643,3572,382,11597,84,7475
반곡동,관내사전투표,3944,3944,3079,732,112,3923,21,0
반곡동,선거일투표,15212,7737,4564,2840,270,7674,63,7475
어진동,계,7472,4049,2389,1458,165,4012,37,3423
어진동,관내사전투표,1125,1124,823,261,32,1116,8,1
어진동,선거일투표,6347,2925,1566,1197,133,2896,29,3422
나성동,계,9152,5223,3351,1678,164,5193,30,3929
나성동,관내사전투표,2238,2238,1696,468,68,2232,6,0
나성동,선거일투표,6914,2985,1655,1210,96,2961,24,3929
