읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 김상욱,국민의힘 김두겸,무소속 박맹우,계,무효 투표수,기권자수
합계,,63729,54066,29904,20694,2759,53357,709,9663
거소투표,,304,281,94,142,17,253,28,23
관외사전투표,,8187,8185,4804,2833,446,8083,102,2
신정1동,계,2793,2792,1489,1120,137,2746,46,1
신정1동,관내사전투표,2793,2792,1489,1120,137,2746,46,1
신정2동,계,2464,2464,1426,901,106,2433,31,0
신정2동,관내사전투표,2464,2464,1426,901,106,2433,31,0
신정3동,계,2328,2326,1280,934,96,2310,16,2
신정3동,관내사전투표,2328,2326,1280,934,96,2310,16,2
신정4동,계,2847,2841,1699,1010,107,2816,25,6
신정4동,관내사전투표,2847,2841,1699,1010,107,2816,25,6
신정5동,계,1457,1457,875,500,61,1436,21,0
신정5동,관내사전투표,1457,1457,875,500,61,1436,21,0
달동,계,21619,12047,4727,6289,786,11802,245,9572
달동,관내사전투표,2421,2415,1453,823,111,2387,28,6
달동,선거일투표,19198,9632,3274,5466,675,9415,217,9566
삼산동,계,5176,5167,3261,1587,273,5121,46,9
삼산동,관내사전투표,5176,5167,3261,1587,273,5121,46,9
삼호동,계,3444,3440,2089,1138,183,3410,30,4
삼호동,관내사전투표,3444,3440,2089,1138,183,3410,30,4
무거동,계,3402,3400,2203,1021,152,3376,24,2
무거동,관내사전투표,3402,3400,2203,1021,152,3376,24,2
옥동,계,3380,3379,2060,1180,107,3347,32,1
옥동,관내사전투표,3380,3379,2060,1180,107,3347,32,1
야음장생포동,계,883,882,464,359,46,869,13,1
야음장생포동,관내사전투표,883,882,464,359,46,869,13,1
대현동,계,4485,4482,2873,1369,201,4443,39,3
대현동,관내사전투표,4485,4482,2873,1369,201,4443,39,3
선암동,계,960,923,560,311,41,912,11,37
선암동,관내사전투표,960,923,560,311,41,912,11,37
