읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 김상욱,국민의힘 김두겸,무소속 박맹우,계,무효 투표수,기권자수
합계,,74121,50397,29366,16592,2686,48644,1753,23724
관외사전투표,,3917,3916,2444,1151,253,3848,68,1
방어동,계,30056,16406,8630,6157,846,15633,773,13650
방어동,관내사전투표,4379,4376,3094,1046,193,4333,43,3
방어동,선거일투표,25677,12030,5536,5111,653,11300,730,13647
일산동,계,4555,2650,1167,1187,176,2530,120,1905
일산동,관내사전투표,966,966,572,319,59,950,16,0
일산동,선거일투표,3589,1684,595,868,117,1580,104,1905
화정동,계,2774,2773,1903,690,136,2729,44,1
화정동,관내사전투표,2774,2773,1903,690,136,2729,44,1
대송동,계,8734,5228,2778,1882,298,4958,270,3506
대송동,관내사전투표,1911,1910,1328,463,90,1881,29,1
대송동,선거일투표,6823,3318,1450,1419,208,3077,241,3505
전하1동,계,12169,7515,3911,2888,411,7210,305,4654
전하1동,관내사전투표,2381,2374,1645,577,124,2346,28,7
전하1동,선거일투표,9788,5141,2266,2311,287,4864,277,4647
전하2동,계,3909,3904,2778,899,167,3844,60,5
전하2동,관내사전투표,3909,3904,2778,899,167,3844,60,5
남목1동,계,1695,1694,1196,393,76,1665,29,1
남목1동,관내사전투표,1695,1694,1196,393,76,1665,29,1
남목2동,계,4225,4225,3044,938,189,4171,54,0
남목2동,관내사전투표,4225,4225,3044,938,189,4171,54,0
남목3동,계,2087,2086,1515,407,134,2056,30,1
남목3동,관내사전투표,2087,2086,1515,407,134,2056,30,1
