읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 김상욱,국민의힘 김두겸,무소속 박맹우,계,무효 투표수,기권자수
합계,,176603,111722,61588,41655,5884,109127,2595,64881
관외사전투표,,10821,10807,6915,3155,574,10644,163,14
농소1동,계,25673,15301,7840,6326,758,14924,377,10372
농소1동,관내사전투표,2916,2907,1980,791,100,2871,36,9
농소1동,선거일투표,22757,12394,5860,5535,658,12053,341,10363
농소2동,계,31757,18895,10587,6812,1031,18430,465,12862
농소2동,관내사전투표,4925,4921,3512,1151,215,4878,43,4
농소2동,선거일투표,26832,13974,7075,5661,816,13552,422,12858
농소3동,계,27426,16847,9661,6026,788,16475,372,10579
농소3동,관내사전투표,5475,5473,4154,1049,219,5422,51,2
농소3동,선거일투표,21951,11374,5507,4977,569,11053,321,10577
강동동,계,11784,7121,3740,2817,371,6928,193,4663
강동동,관내사전투표,2410,2409,1668,581,122,2371,38,1
강동동,선거일투표,9374,4712,2072,2236,249,4557,155,4662
효문동,계,23166,13651,6730,5815,768,13313,338,9515
효문동,관내사전투표,3436,3436,2450,788,161,3399,37,0
효문동,선거일투표,19730,10215,4280,5027,607,9914,301,9515
송정동,계,27667,17975,10037,6621,934,17592,383,9692
송정동,관내사전투표,6128,6123,4469,1319,277,6065,58,5
송정동,선거일투표,21539,11852,5568,5302,657,11527,325,9687
양정동,계,9991,6017,3295,2222,348,5865,152,3974
양정동,관내사전투표,2135,2134,1623,400,89,2112,22,1
양정동,선거일투표,7856,3883,1672,1822,259,3753,130,3973
염포동,계,8318,5108,2783,1861,312,4956,152,3210
염포동,관내사전투표,2109,2106,1481,483,107,2071,35,3
염포동,선거일투표,6209,3002,1302,1378,205,2885,117,3207
