읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 박찬대,국민의힘 유정복,개혁신당 이기붕,계,무효 투표수,기권자수
합계,,34191,26424,11923,13642,179,25744,680,7767
관외사전투표,,2087,2087,1146,900,19,2065,22,0
강화읍,계,17557,11172,4731,6162,73,10966,206,6385
강화읍,관내사전투표,4486,4482,2398,1973,25,4396,86,4
강화읍,선거일투표,13071,6690,2333,4189,48,6570,120,6381
선원면,계,2224,2224,1176,964,12,2152,72,0
선원면,관내사전투표,2224,2224,1176,964,12,2152,72,0
불은면,계,1212,1212,583,583,9,1175,37,0
불은면,관내사전투표,1212,1212,583,583,9,1175,37,0
길상면,계,2010,2008,1023,930,8,1961,47,2
길상면,관내사전투표,2010,2008,1023,930,8,1961,47,2
화도면,계,3767,2391,839,1467,22,2328,63,1376
화도면,관내사전투표,836,836,379,413,8,800,36,0
화도면,선거일투표,2931,1555,460,1054,14,1528,27,1376
양도면,계,897,897,419,425,7,851,46,0
양도면,관내사전투표,897,897,419,425,7,851,46,0
내가면,계,641,640,311,295,4,610,30,1
내가면,관내사전투표,641,640,311,295,4,610,30,1
하점면,계,1019,1018,476,509,6,991,27,1
하점면,관내사전투표,1019,1018,476,509,6,991,27,1
양사면,계,367,367,176,180,3,359,8,0
양사면,관내사전투표,367,367,176,180,3,359,8,0
송해면,계,1164,1162,552,557,7,1116,46,2
송해면,관내사전투표,1164,1162,552,557,7,1116,46,2
교동면,계,728,728,275,394,6,675,53,0
교동면,관내사전투표,728,728,275,394,6,675,53,0
삼산면,계,421,421,180,220,2,402,19,0
삼산면,관내사전투표,421,421,180,220,2,402,19,0
서도면,계,97,97,36,56,1,93,4,0
서도면,관내사전투표,97,97,36,56,1,93,4,0
