읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 박찬대,국민의힘 유정복,개혁신당 이기붕,계,무효 투표수,기권자수
합계,,151153,84379,45191,37287,856,83334,1045,66774
거소투표,,467,427,191,199,13,403,24,40
관외사전투표,,4423,4422,2816,1476,68,4360,62,1
숭의1·3동,계,14258,6745,3417,3189,61,6667,78,7513
숭의1·3동,관내사전투표,1880,1879,1281,562,7,1850,29,1
숭의1·3동,선거일투표,12378,4866,2136,2627,54,4817,49,7512
숭의2동,계,11610,5318,2689,2492,55,5236,82,6292
숭의2동,관내사전투표,1851,1850,1244,565,16,1825,25,1
숭의2동,선거일투표,9759,3468,1445,1927,39,3411,57,6291
숭의4동,계,2604,2604,1680,853,25,2558,46,0
숭의4동,관내사전투표,2604,2604,1680,853,25,2558,46,0
용현1·4동,계,1746,1746,1049,647,14,1710,36,0
용현1·4동,관내사전투표,1746,1746,1049,647,14,1710,36,0
용현2동,계,14814,7012,2917,3955,56,6928,84,7802
용현2동,선거일투표,14814,7012,2917,3955,56,6928,84,7802
용현3동,계,6190,3199,1433,1692,22,3147,52,2991
용현3동,관내사전투표,1290,1290,749,515,10,1274,16,0
용현3동,선거일투표,4900,1909,684,1177,12,1873,36,2991
학익2동,계,2307,2307,1457,812,18,2287,20,0
학익2동,관내사전투표,2307,2307,1457,812,18,2287,20,0
도화1동,계,17113,7889,3749,3964,79,7792,97,9224
도화1동,관내사전투표,2224,2224,1394,784,21,2199,25,0
도화1동,선거일투표,14889,5665,2355,3180,58,5593,72,9224
도화2·3동,계,4071,4070,2763,1216,45,4024,46,1
도화2·3동,관내사전투표,4071,4070,2763,1216,45,4024,46,1
주안1동,계,18071,6954,3680,3121,71,6872,82,11117
주안1동,관내사전투표,2191,2190,1525,625,14,2164,26,1
주안1동,선거일투표,15880,4764,2155,2496,57,4708,56,11116
주안2동,계,2467,2467,1653,773,17,2443,24,0
주안2동,관내사전투표,2467,2467,1653,773,17,2443,24,0
주안3동,계,1736,1734,1128,566,24,1718,16,2
주안3동,관내사전투표,1736,1734,1128,566,24,1718,16,2
주안5동,계,13994,6086,2648,3291,87,6026,60,7908
주안5동,선거일투표,13994,6086,2648,3291,87,6026,60,7908
주안6동,계,2887,2885,1943,887,28,2858,27,2
주안6동,관내사전투표,2887,2885,1943,887,28,2858,27,2
주안7동,계,2652,2651,1655,925,27,2607,44,1
주안7동,관내사전투표,2652,2651,1655,925,27,2607,44,1
주안8동,계,15524,8576,4133,4264,80,8477,99,6948
주안8동,관내사전투표,1892,1892,1266,599,19,1884,8,0
주안8동,선거일투표,13632,6684,2867,3665,61,6593,91,6948
관교동,계,2131,2131,1351,753,11,2115,16,0
관교동,관내사전투표,2131,2131,1351,753,11,2115,16,0
문학동,계,12088,5156,2839,2212,55,5106,50,6932
문학동,관내사전투표,2082,2078,1414,612,28,2054,24,4
문학동,선거일투표,10006,3078,1425,1600,27,3052,26,6928
