읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 박찬대,국민의힘 유정복,개혁신당 이기붕,계,무효 투표수,기권자수
합계,,4665,4660,2868,1657,38,4563,97,5
신포동,계,856,855,571,266,3,840,15,1
신포동,관내사전투표,856,855,571,266,3,840,15,1
율목동,계,441,441,263,163,7,433,8,0
율목동,관내사전투표,441,441,263,163,7,433,8,0
개항동,계,835,831,517,293,5,815,16,4
개항동,관내사전투표,835,831,517,293,5,815,16,4
화수1·화평동,계,843,843,519,292,5,816,27,0
화수1·화평동,관내사전투표,843,843,519,292,5,816,27,0
화수2동,계,881,881,482,367,11,860,21,0
화수2동,관내사전투표,881,881,482,367,11,860,21,0
송림1동,계,487,487,327,154,4,485,2,0
송림1동,관내사전투표,487,487,327,154,4,485,2,0
금창동,계,322,322,189,122,3,314,8,0
금창동,관내사전투표,322,322,189,122,3,314,8,0
