읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 민형배,국민의힘 이정현,진보당 이종욱,정의당 강은미,무소속 김광만,계,무효 투표수,기권자수
합계,,41733,35826,28433,2956,1346,1323,571,34629,1197,5907
거소투표,,290,267,177,28,9,14,4,232,35,23
관외사전투표,,5473,5473,4328,523,222,218,88,5379,94,0
남평읍,계,9173,5293,4203,458,194,209,65,5129,164,3880
남평읍,관내사전투표,3010,3009,2477,192,103,107,32,2911,98,1
남평읍,선거일투표,6163,2284,1726,266,91,102,33,2218,66,3879
세지면,계,2017,1236,975,107,45,42,17,1186,50,781
세지면,관내사전투표,875,875,710,56,35,25,11,837,38,0
세지면,선거일투표,1142,361,265,51,10,17,6,349,12,781
왕곡면,계,768,767,603,57,26,24,9,719,48,1
왕곡면,관내사전투표,768,767,603,57,26,24,9,719,48,1
반남면,계,433,433,362,31,8,15,2,418,15,0
반남면,관내사전투표,433,433,362,31,8,15,2,418,15,0
공산면,계,727,727,597,35,31,29,7,699,28,0
공산면,관내사전투표,727,727,597,35,31,29,7,699,28,0
동강면,계,712,712,582,36,19,28,12,677,35,0
동강면,관내사전투표,712,712,582,36,19,28,12,677,35,0
다시면,계,1423,1423,1089,85,31,69,31,1305,118,0
다시면,관내사전투표,1423,1423,1089,85,31,69,31,1305,118,0
문평면,계,549,549,424,38,19,32,14,527,22,0
문평면,관내사전투표,549,549,424,38,19,32,14,527,22,0
노안면,계,1082,1082,820,59,102,36,18,1035,47,0
노안면,관내사전투표,1082,1082,820,59,102,36,18,1035,47,0
금천면,계,1526,1525,1251,94,51,52,23,1471,54,1
금천면,관내사전투표,1526,1525,1251,94,51,52,23,1471,54,1
산포면,계,886,886,690,60,32,35,23,840,46,0
산포면,관내사전투표,886,886,690,60,32,35,23,840,46,0
다도면,계,659,659,469,48,24,20,13,574,85,0
다도면,관내사전투표,659,659,469,48,24,20,13,574,85,0
봉황면,계,974,974,784,50,43,29,21,927,47,0
봉황면,관내사전투표,974,974,784,50,43,29,21,927,47,0
송월동,계,1903,1903,1516,175,96,52,32,1871,32,0
송월동,관내사전투표,1903,1903,1516,175,96,52,32,1871,32,0
영강동,계,718,718,568,45,20,33,15,681,37,0
영강동,관내사전투표,718,718,568,45,20,33,15,681,37,0
금남동,계,1013,1013,830,67,33,31,20,981,32,0
금남동,관내사전투표,1013,1013,830,67,33,31,20,981,32,0
성북동,계,2260,2259,1858,161,76,77,40,2212,47,1
성북동,관내사전투표,2260,2259,1858,161,76,77,40,2212,47,1
영산동,계,768,768,622,51,15,18,16,722,46,0
영산동,관내사전투표,768,768,622,51,15,18,16,722,46,0
이창동,계,2701,1481,1189,121,50,51,19,1430,51,1220
이창동,관내사전투표,875,874,734,47,27,29,7,844,30,1
이창동,선거일투표,1826,607,455,74,23,22,12,586,21,1219
빛가람동,계,5678,5678,4496,627,200,209,82,5614,64,0
빛가람동,관내사전투표,5678,5678,4496,627,200,209,82,5614,64,0
