읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 민형배,국민의힘 이정현,진보당 이종욱,정의당 강은미,무소속 김광만,계,무효 투표수,기권자수
합계,,4823,4818,3845,358,126,161,73,4563,255,5
거소투표,,119,115,87,12,9,1,3,112,3,4
봉산면,계,931,931,764,54,20,36,11,885,46,0
봉산면,관내사전투표,931,931,764,54,20,36,11,885,46,0
고서면,계,1222,1222,978,111,29,32,17,1167,55,0
고서면,관내사전투표,1222,1222,978,111,29,32,17,1167,55,0
가사문학면,계,497,497,393,44,9,11,10,467,30,0
가사문학면,관내사전투표,497,497,393,44,9,11,10,467,30,0
창평면,계,1410,1409,1115,99,29,51,24,1318,91,1
창평면,관내사전투표,1410,1409,1115,99,29,51,24,1318,91,1
대덕면,계,644,644,508,38,30,30,8,614,30,0
대덕면,관내사전투표,644,644,508,38,30,30,8,614,30,0
