읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 민형배,국민의힘 이정현,진보당 이종욱,정의당 강은미,무소속 김광만,계,무효 투표수,기권자수
합계,,173245,98548,81303,7766,2176,3610,1267,96122,2426,74697
거소투표,,584,512,366,65,13,19,14,477,35,72
관외사전투표,,17262,17261,14194,1401,412,688,257,16952,309,1
용당1동,계,7426,3878,3239,281,67,127,43,3757,121,3548
용당1동,관내사전투표,1924,1923,1678,87,33,49,14,1861,62,1
용당1동,선거일투표,5502,1955,1561,194,34,78,29,1896,59,3547
용당2동,계,3788,2035,1697,137,41,60,28,1963,72,1753
용당2동,관내사전투표,1157,1157,1000,68,21,33,14,1136,21,0
용당2동,선거일투표,2631,878,697,69,20,27,14,827,51,1753
연동,계,3089,1606,1361,103,19,35,24,1542,64,1483
연동,관내사전투표,802,802,704,24,10,21,11,770,32,0
연동,선거일투표,2287,804,657,79,9,14,13,772,32,1483
산정동,계,6247,3329,2783,269,58,95,46,3251,78,2918
산정동,관내사전투표,1562,1561,1352,90,23,46,13,1524,37,1
산정동,선거일투표,4685,1768,1431,179,35,49,33,1727,41,2917
연산동,계,6088,3014,2514,214,52,129,24,2933,81,3074
연산동,관내사전투표,1352,1352,1184,49,21,40,5,1299,53,0
연산동,선거일투표,4736,1662,1330,165,31,89,19,1634,28,3074
원산동,계,8611,4441,3681,295,88,197,58,4319,122,4170
원산동,관내사전투표,2222,2222,1934,86,46,73,21,2160,62,0
원산동,선거일투표,6389,2219,1747,209,42,124,37,2159,60,4170
대성동,계,3599,2080,1735,161,50,60,22,2028,52,1519
대성동,관내사전투표,1257,1257,1097,59,33,32,8,1229,28,0
대성동,선거일투표,2342,823,638,102,17,28,14,799,24,1519
목원동,계,4984,2676,2181,250,44,68,37,2580,96,2308
목원동,관내사전투표,1391,1391,1197,80,19,30,17,1343,48,0
목원동,선거일투표,3593,1285,984,170,25,38,20,1237,48,2308
동명동,계,3615,1952,1659,114,31,51,24,1879,73,1663
동명동,관내사전투표,1162,1161,1018,52,16,26,7,1119,42,1
동명동,선거일투표,2453,791,641,62,15,25,17,760,31,1662
삼학동,계,4287,2414,2074,156,47,79,20,2376,38,1873
삼학동,관내사전투표,1354,1354,1206,56,23,44,10,1339,15,0
삼학동,선거일투표,2933,1060,868,100,24,35,10,1037,23,1873
만호동,계,1807,959,767,76,19,32,19,913,46,848
만호동,관내사전투표,579,579,480,28,10,22,9,549,30,0
만호동,선거일투표,1228,380,287,48,9,10,10,364,16,848
유달동,계,3169,1760,1440,118,31,53,25,1667,93,1409
유달동,관내사전투표,1048,1048,873,53,13,35,9,983,65,0
유달동,선거일투표,2121,712,567,65,18,18,16,684,28,1409
죽교동,계,2219,1208,955,108,29,41,20,1153,55,1011
죽교동,관내사전투표,736,735,604,46,16,23,12,701,34,1
죽교동,선거일투표,1483,473,351,62,13,18,8,452,21,1010
북항동,계,6606,3626,3052,258,57,121,49,3537,89,2980
북항동,관내사전투표,2135,2135,1868,107,31,58,20,2084,51,0
북항동,선거일투표,4471,1491,1184,151,26,63,29,1453,38,2980
용해동,계,11539,6000,5010,408,98,272,66,5854,146,5539
용해동,관내사전투표,3203,3201,2791,146,46,117,25,3125,76,2
용해동,선거일투표,8336,2799,2219,262,52,155,41,2729,70,5537
이로동,계,7170,4047,3315,326,162,119,22,3944,103,3123
이로동,관내사전투표,2027,2027,1728,114,73,60,6,1981,46,0
이로동,선거일투표,5143,2020,1587,212,89,59,16,1963,57,3123
상동,계,14954,7610,6214,600,173,275,128,7390,220,7344
상동,관내사전투표,3125,3125,2623,149,56,102,50,2980,145,0
상동,선거일투표,11829,4485,3591,451,117,173,78,4410,75,7344
하당동,계,10738,4476,3659,402,153,135,44,4393,83,6262
하당동,관내사전투표,1786,1786,1534,91,57,50,16,1748,38,0
하당동,선거일투표,8952,2690,2125,311,96,85,28,2645,45,6262
신흥동,계,12110,6072,4966,528,127,248,82,5951,121,6038
신흥동,관내사전투표,2506,2503,2126,153,56,107,21,2463,40,3
신흥동,선거일투표,9604,3569,2840,375,71,141,61,3488,81,6035
삼향동,계,3900,2296,1903,168,57,91,26,2245,51,1604
삼향동,관내사전투표,1525,1525,1299,95,35,51,9,1489,36,0
삼향동,선거일투표,2375,771,604,73,22,40,17,756,15,1604
옥암동,계,7885,4288,3603,316,83,159,48,4209,79,3597
옥암동,관내사전투표,2433,2433,2146,97,56,72,21,2392,41,0
옥암동,선거일투표,5452,1855,1457,219,27,87,27,1817,38,3597
부흥동,계,6701,3678,2993,297,86,156,54,3586,92,3023
부흥동,관내사전투표,2171,2171,1821,129,44,95,29,2118,53,0
부흥동,선거일투표,4530,1507,1172,168,42,61,25,1468,39,3023
부주동,계,14867,7321,5934,715,179,300,87,7215,106,7546
부주동,관내사전투표,3397,3396,2906,211,73,140,28,3358,38,1
부주동,선거일투표,11470,3925,3028,504,106,160,59,3857,68,7545
잘못 투입·구분된 투표지,,0,9,8,0,0,0,0,8,1,-9
