읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 민형배,국민의힘 이정현,진보당 이종욱,정의당 강은미,무소속 김광만,계,무효 투표수,기권자수
합계,,7708,7707,6674,486,104,136,92,7492,215,1
돌산읍,계,1291,1291,1112,79,11,20,14,1236,55,0
돌산읍,관내사전투표,1291,1291,1112,79,11,20,14,1236,55,0
남면,계,480,480,416,27,8,10,0,461,19,0
남면,관내사전투표,480,480,416,27,8,10,0,461,19,0
화정면,계,149,149,135,6,2,2,2,147,2,0
화정면,관내사전투표,149,149,135,6,2,2,2,147,2,0
삼산면,계,351,351,300,31,5,8,3,347,4,0
삼산면,관내사전투표,351,351,300,31,5,8,3,347,4,0
동문동,계,963,963,814,75,16,23,8,936,27,0
동문동,관내사전투표,963,963,814,75,16,23,8,936,27,0
중앙동,계,833,833,738,48,5,14,8,813,20,0
중앙동,관내사전투표,833,833,738,48,5,14,8,813,20,0
광림동,계,946,946,830,49,19,18,14,930,16,0
광림동,관내사전투표,946,946,830,49,19,18,14,930,16,0
서강동,계,730,730,633,48,8,13,13,715,15,0
서강동,관내사전투표,730,730,633,48,8,13,13,715,15,0
대교동,계,1064,1063,922,65,14,16,17,1034,29,1
대교동,관내사전투표,1064,1063,922,65,14,16,17,1034,29,1
삼일동,계,587,587,506,42,6,5,10,569,18,0
삼일동,관내사전투표,587,587,506,42,6,5,10,569,18,0
묘도동,계,314,314,268,16,10,7,3,304,10,0
묘도동,관내사전투표,314,314,268,16,10,7,3,304,10,0
