읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 민형배,국민의힘 이정현,진보당 이종욱,정의당 강은미,무소속 김광만,계,무효 투표수,기권자수
합계,,53127,34452,28212,2523,951,828,481,32995,1457,18675
관외사전투표,,5197,5196,4310,427,143,127,69,5076,120,1
해남읍,계,17362,9795,8172,740,255,234,130,9531,264,7567
해남읍,관내사전투표,5014,5011,4307,269,119,126,60,4881,130,3
해남읍,선거일투표,12348,4784,3865,471,136,108,70,4650,134,7564
삼산면,계,2272,1552,1233,111,63,44,35,1486,66,720
삼산면,관내사전투표,879,879,726,47,36,24,11,844,35,0
삼산면,선거일투표,1393,673,507,64,27,20,24,642,31,720
화산면,계,2418,1635,1272,126,50,50,22,1520,115,783
화산면,관내사전투표,895,893,718,58,29,22,9,836,57,2
화산면,선거일투표,1523,742,554,68,21,28,13,684,58,781
현산면,계,2237,1504,1203,117,41,33,23,1417,87,733
현산면,관내사전투표,747,747,615,43,17,15,9,699,48,0
현산면,선거일투표,1490,757,588,74,24,18,14,718,39,733
송지면,계,3186,1404,1181,111,20,27,11,1350,54,1782
송지면,선거일투표,3186,1404,1181,111,20,27,11,1350,54,1782
북평면,계,2195,1551,1241,92,54,32,32,1451,100,644
북평면,관내사전투표,861,861,701,49,18,15,20,803,58,0
북평면,선거일투표,1334,690,540,43,36,17,12,648,42,644
북일면,계,1581,1093,883,55,42,34,32,1046,47,488
북일면,관내사전투표,684,684,555,29,31,17,18,650,34,0
북일면,선거일투표,897,409,328,26,11,17,14,396,13,488
옥천면,계,2363,1614,1259,147,37,54,14,1511,103,749
옥천면,관내사전투표,907,906,718,77,16,26,5,842,64,1
옥천면,선거일투표,1456,708,541,70,21,28,9,669,39,748
계곡면,계,1678,1120,926,66,31,24,12,1059,61,558
계곡면,관내사전투표,704,704,595,33,17,14,7,666,38,0
계곡면,선거일투표,974,416,331,33,14,10,5,393,23,558
마산면,계,1969,1244,1037,57,41,28,24,1187,57,725
마산면,관내사전투표,682,681,575,24,21,18,12,650,31,1
마산면,선거일투표,1287,563,462,33,20,10,12,537,26,724
황산면,계,3624,2505,2009,170,75,53,31,2338,167,1119
황산면,관내사전투표,1393,1392,1126,83,37,25,17,1288,104,1
황산면,선거일투표,2231,1113,883,87,38,28,14,1050,63,1118
산이면,계,2760,1662,1390,97,44,39,20,1590,72,1098
산이면,관내사전투표,911,910,764,51,20,19,12,866,44,1
산이면,선거일투표,1849,752,626,46,24,20,8,724,28,1097
문내면,계,1599,798,623,82,25,19,7,756,42,801
문내면,선거일투표,1599,798,623,82,25,19,7,756,42,801
화원면,계,2686,1779,1473,125,30,30,19,1677,102,907
화원면,관내사전투표,1110,1110,931,60,15,13,12,1031,79,0
화원면,선거일투표,1576,669,542,65,15,17,7,646,23,907
