읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 이원택,국민의힘 양정무,진보당 백승재,무소속 김성수,무소속 김관영,계,무효 투표수,기권자수
합계,,18628,16072,8207,556,287,361,5595,15006,1066,2556
거소투표,,327,299,152,7,1,3,126,289,10,28
고수면,계,1502,1502,735,40,23,41,587,1426,76,0
고수면,관내사전투표,1502,1502,735,40,23,41,587,1426,76,0
아산면,계,1033,1033,494,31,10,21,400,956,77,0
아산면,관내사전투표,1033,1033,494,31,10,21,400,956,77,0
무장면,계,971,971,526,33,11,17,304,891,80,0
무장면,관내사전투표,971,971,526,33,11,17,304,891,80,0
공음면,계,1834,1411,762,64,24,20,439,1309,102,423
공음면,관내사전투표,1037,1037,576,34,17,14,316,957,80,0
공음면,선거일투표,797,374,186,30,7,6,123,352,22,423
상하면,계,1823,1408,788,53,23,22,422,1308,100,415
상하면,관내사전투표,973,973,556,23,17,13,281,890,83,0
상하면,선거일투표,850,435,232,30,6,9,141,418,17,415
해리면,계,1023,1023,575,35,13,16,299,938,85,0
해리면,관내사전투표,1023,1023,575,35,13,16,299,938,85,0
성송면,계,1304,933,455,44,17,17,368,901,32,371
성송면,관내사전투표,613,613,304,20,12,13,240,589,24,0
성송면,선거일투표,691,320,151,24,5,4,128,312,8,371
대산면,계,1132,1131,594,41,21,14,387,1057,74,1
대산면,관내사전투표,1132,1131,594,41,21,14,387,1057,74,1
심원면,계,1889,1481,731,50,27,62,499,1369,112,408
심원면,관내사전투표,1016,1016,499,23,16,45,342,925,91,0
심원면,선거일투표,873,465,232,27,11,17,157,444,21,408
흥덕면,계,1220,1220,640,27,29,32,420,1148,72,0
흥덕면,관내사전투표,1220,1220,640,27,29,32,420,1148,72,0
성내면,계,737,737,364,25,21,12,272,694,43,0
성내면,관내사전투표,737,737,364,25,21,12,272,694,43,0
신림면,계,1781,1431,640,51,30,52,551,1324,107,350
신림면,관내사전투표,1031,1031,472,30,17,37,385,941,90,0
신림면,선거일투표,750,400,168,21,13,15,166,383,17,350
부안면,계,2052,1492,751,55,37,32,521,1396,96,560
부안면,관내사전투표,923,923,480,22,27,18,314,861,62,0
부안면,선거일투표,1129,569,271,33,10,14,207,535,34,560
