읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 이원택,국민의힘 양정무,진보당 백승재,무소속 김성수,무소속 김관영,계,무효 투표수,기권자수
합계,,11492,11491,3770,196,99,54,7078,11197,294,1
옥구읍,계,869,869,273,22,15,5,520,835,34,0
옥구읍,관내사전투표,869,869,273,22,15,5,520,835,34,0
옥산면,계,908,908,279,12,11,1,591,894,14,0
옥산면,관내사전투표,908,908,279,12,11,1,591,894,14,0
회현면,계,917,917,215,14,4,7,645,885,32,0
회현면,관내사전투표,917,917,215,14,4,7,645,885,32,0
임피면,계,703,702,270,9,8,0,395,682,20,1
임피면,관내사전투표,703,702,270,9,8,0,395,682,20,1
서수면,계,545,545,191,12,1,4,312,520,25,0
서수면,관내사전투표,545,545,191,12,1,4,312,520,25,0
대야면,계,1410,1410,430,18,14,6,918,1386,24,0
대야면,관내사전투표,1410,1410,430,18,14,6,918,1386,24,0
개정면,계,671,671,220,9,4,2,420,655,16,0
개정면,관내사전투표,671,671,220,9,4,2,420,655,16,0
성산면,계,782,782,247,27,8,3,487,772,10,0
성산면,관내사전투표,782,782,247,27,8,3,487,772,10,0
옥도면,계,147,147,43,2,1,0,98,144,3,0
옥도면,관내사전투표,147,147,43,2,1,0,98,144,3,0
옥서면,계,862,862,260,18,11,12,521,822,40,0
옥서면,관내사전투표,862,862,260,18,11,12,521,822,40,0
해신동,계,566,566,202,9,3,1,333,548,18,0
해신동,관내사전투표,566,566,202,9,3,1,333,548,18,0
신풍동,계,1030,1030,356,12,8,5,628,1009,21,0
신풍동,관내사전투표,1030,1030,356,12,8,5,628,1009,21,0
흥남동,계,2082,2082,784,32,11,8,1210,2045,37,0
흥남동,관내사전투표,2082,2082,784,32,11,8,1210,2045,37,0
