읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 이원택,국민의힘 양정무,진보당 백승재,무소속 김성수,무소속 김관영,계,무효 투표수,기권자수
합계,,13972,11118,4880,218,166,688,4684,10636,482,2854
거소투표,,145,130,65,10,1,3,40,119,11,15
주산면,계,496,495,205,8,4,30,217,464,31,1
주산면,관내사전투표,496,495,205,8,4,30,217,464,31,1
동진면,계,672,672,287,12,6,36,305,646,26,0
동진면,관내사전투표,672,672,287,12,6,36,305,646,26,0
행안면,계,1902,1902,755,17,15,73,980,1840,62,0
행안면,관내사전투표,1902,1902,755,17,15,73,980,1840,62,0
계화면,계,721,721,289,9,14,43,332,687,34,0
계화면,관내사전투표,721,721,289,9,14,43,332,687,34,0
보안면,계,731,731,374,13,15,33,263,698,33,0
보안면,관내사전투표,731,731,374,13,15,33,263,698,33,0
변산면,계,988,988,425,14,20,84,409,952,36,0
변산면,관내사전투표,988,988,425,14,20,84,409,952,36,0
백산면,계,1881,1206,675,24,18,53,389,1159,47,675
백산면,관내사전투표,717,717,404,9,11,22,244,690,27,0
백산면,선거일투표,1164,489,271,15,7,31,145,469,20,675
상서면,계,1549,977,363,25,16,97,439,940,37,572
상서면,관내사전투표,613,613,228,10,13,55,288,594,19,0
상서면,선거일투표,936,364,135,15,3,42,151,346,18,572
하서면,계,1948,1284,501,22,26,115,543,1207,77,664
하서면,관내사전투표,739,739,297,10,13,60,316,696,43,0
하서면,선거일투표,1209,545,204,12,13,55,227,511,34,664
줄포면,계,2136,1476,688,44,27,96,559,1414,62,660
줄포면,관내사전투표,885,885,423,18,14,47,343,845,40,0
줄포면,선거일투표,1251,591,265,26,13,49,216,569,22,660
위도면,계,803,536,253,20,4,25,208,510,26,267
위도면,관내사전투표,328,328,152,12,4,15,129,312,16,0
위도면,선거일투표,475,208,101,8,0,10,79,198,10,267
