읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 이원택,국민의힘 양정무,진보당 백승재,무소속 김성수,무소속 김관영,계,무효 투표수,기권자수
합계,,19882,8201,4270,435,162,104,3002,7973,228,11681
삼례읍,계,7392,2765,1435,154,44,35,1020,2688,77,4627
삼례읍,선거일투표,7392,2765,1435,154,44,35,1020,2688,77,4627
봉동읍,계,2147,769,427,42,14,12,260,755,14,1378
봉동읍,선거일투표,2147,769,427,42,14,12,260,755,14,1378
상관면,계,1662,670,374,35,14,7,229,659,11,992
상관면,선거일투표,1662,670,374,35,14,7,229,659,11,992
이서면,계,2435,937,483,47,20,9,354,913,24,1498
이서면,선거일투표,2435,937,483,47,20,9,354,913,24,1498
소양면,계,1320,568,277,29,10,5,229,550,18,752
소양면,선거일투표,1320,568,277,29,10,5,229,550,18,752
구이면,계,2052,977,448,58,28,5,414,953,24,1075
구이면,선거일투표,2052,977,448,58,28,5,414,953,24,1075
고산면,계,1333,633,359,26,9,15,203,612,21,700
고산면,선거일투표,1333,633,359,26,9,15,203,612,21,700
비봉면,계,828,390,207,18,12,10,129,376,14,438
비봉면,선거일투표,828,390,207,18,12,10,129,376,14,438
동상면,계,289,289,156,9,5,2,102,274,15,0
동상면,관내사전투표,289,289,156,9,5,2,102,274,15,0
경천면,계,424,203,104,17,6,4,62,193,10,221
경천면,선거일투표,424,203,104,17,6,4,62,193,10,221
