읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 이원택,국민의힘 양정무,진보당 백승재,무소속 김성수,무소속 김관영,계,무효 투표수,기권자수
합계,,135179,102377,50605,3573,1961,747,44018,100904,1473,32802
관외사전투표,,26951,26940,13223,1096,543,240,11464,26566,374,11
중앙동,계,2063,2061,1034,46,28,11,921,2040,21,2
중앙동,관내사전투표,2063,2061,1034,46,28,11,921,2040,21,2
풍남동,계,567,567,274,11,12,0,265,562,5,0
풍남동,관내사전투표,567,567,274,11,12,0,265,562,5,0
노송동,계,3319,2489,1250,73,46,23,1056,2448,41,830
노송동,관내사전투표,1901,1900,987,39,37,13,794,1870,30,1
노송동,선거일투표,1418,589,263,34,9,10,262,578,11,829
완산동,계,1038,1038,537,27,32,5,422,1023,15,0
완산동,관내사전투표,1038,1038,537,27,32,5,422,1023,15,0
동서학동,계,1987,1554,811,48,22,10,625,1516,38,433
동서학동,관내사전투표,1298,1298,674,34,18,7,537,1270,28,0
동서학동,선거일투표,689,256,137,14,4,3,88,246,10,433
서서학동,계,5059,3169,1661,141,68,19,1189,3078,91,1890
서서학동,관내사전투표,1957,1957,1046,49,40,11,770,1916,41,0
서서학동,선거일투표,3102,1212,615,92,28,8,419,1162,50,1890
중화산1동,계,2718,2717,1344,54,42,13,1231,2684,33,1
중화산1동,관내사전투표,2718,2717,1344,54,42,13,1231,2684,33,1
중화산2동,계,5830,3472,1661,119,54,19,1583,3436,36,2358
중화산2동,관내사전투표,2648,2639,1293,52,40,13,1221,2619,20,9
중화산2동,선거일투표,3182,833,368,67,14,6,362,817,16,2349
평화1동,계,3098,3098,1771,85,54,26,1067,3003,95,0
평화1동,관내사전투표,3098,3098,1771,85,54,26,1067,3003,95,0
평화2동,계,9268,4471,2198,240,86,21,1864,4409,62,4797
평화2동,선거일투표,9268,4471,2198,240,86,21,1864,4409,62,4797
서신동,계,3849,1433,697,70,22,9,608,1406,27,2416
서신동,선거일투표,3849,1433,697,70,22,9,608,1406,27,2416
삼천1동,계,1979,1976,956,44,36,13,905,1954,22,3
삼천1동,관내사전투표,1979,1976,956,44,36,13,905,1954,22,3
삼천2동,계,2160,2160,1125,41,45,12,905,2128,32,0
삼천2동,관내사전투표,2160,2160,1125,41,45,12,905,2128,32,0
삼천3동,계,3741,3739,1927,68,80,31,1554,3660,79,2
삼천3동,관내사전투표,3741,3739,1927,68,80,31,1554,3660,79,2
효자1동,계,4462,3733,1722,120,71,24,1745,3682,51,729
효자1동,관내사전투표,2699,2698,1286,58,56,16,1242,2658,40,1
효자1동,선거일투표,1763,1035,436,62,15,8,503,1024,11,728
효자2동,계,3825,2600,1263,96,59,26,1125,2569,31,1225
효자2동,관내사전투표,1586,1585,786,26,34,13,710,1569,16,1
효자2동,선거일투표,2239,1015,477,70,25,13,415,1000,15,1224
효자3동,계,7342,5117,2393,156,102,39,2367,5057,60,2225
효자3동,관내사전투표,3347,3344,1608,53,66,26,1552,3305,39,3
효자3동,선거일투표,3995,1773,785,103,36,13,815,1752,21,2222
효자4동,계,13813,8655,3993,316,194,57,4000,8560,95,5158
효자4동,관내사전투표,4281,4281,2083,100,103,17,1939,4242,39,0
효자4동,선거일투표,9532,4374,1910,216,91,40,2061,4318,56,5158
효자5동,계,17687,9812,4657,406,172,70,4394,9699,113,7875
효자5동,관내사전투표,4135,4135,1949,100,60,21,1974,4104,31,0
효자5동,선거일투표,13552,5677,2708,306,112,49,2420,5595,82,7875
인후1동,계,3880,3880,1969,92,68,20,1688,3837,43,0
인후1동,관내사전투표,3880,3880,1969,92,68,20,1688,3837,43,0
인후2동,계,1496,1496,756,46,17,7,640,1466,30,0
인후2동,관내사전투표,1496,1496,756,46,17,7,640,1466,30,0
인후3동,계,9047,6200,3383,178,108,52,2400,6121,79,2847
인후3동,관내사전투표,3837,3837,2155,80,73,29,1467,3804,33,0
인후3동,선거일투표,5210,2363,1228,98,35,23,933,2317,46,2847
