읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 이원택,국민의힘 양정무,진보당 백승재,무소속 김성수,무소속 김관영,계,무효 투표수,기권자수
합계,,67374,47753,25602,1413,623,450,18196,46284,1469,19621
관외사전투표,,5336,5332,2795,187,57,51,2144,5234,98,4
신태인읍,계,3205,2337,1366,65,30,30,764,2255,82,868
신태인읍,관내사전투표,1639,1639,947,36,22,19,556,1580,59,0
신태인읍,선거일투표,1566,698,419,29,8,11,208,675,23,868
북면,계,2281,1703,896,63,35,10,635,1639,64,578
북면,관내사전투표,1253,1253,670,26,26,8,480,1210,43,0
북면,선거일투표,1028,450,226,37,9,2,155,429,21,578
입암면,계,1458,1078,627,39,11,9,349,1035,43,380
입암면,관내사전투표,723,723,417,23,6,8,240,694,29,0
입암면,선거일투표,735,355,210,16,5,1,109,341,14,380
소성면,계,1551,981,544,18,11,6,374,953,28,570
소성면,관내사전투표,565,565,323,6,9,3,208,549,16,0
소성면,선거일투표,986,416,221,12,2,3,166,404,12,570
고부면,계,2042,1331,685,34,36,17,471,1243,88,711
고부면,관내사전투표,862,862,448,15,21,11,305,800,62,0
고부면,선거일투표,1180,469,237,19,15,6,166,443,26,711
영원면,계,601,601,334,17,6,2,202,561,40,0
영원면,관내사전투표,601,601,334,17,6,2,202,561,40,0
덕천면,계,540,540,281,8,6,10,211,516,24,0
덕천면,관내사전투표,540,540,281,8,6,10,211,516,24,0
이평면,계,1524,1053,581,31,15,11,369,1007,46,471
이평면,관내사전투표,655,655,379,16,7,5,215,622,33,0
이평면,선거일투표,869,398,202,15,8,6,154,385,13,471
정우면,계,673,672,353,18,14,3,245,633,39,1
정우면,관내사전투표,673,672,353,18,14,3,245,633,39,1
태인면,계,1935,1449,838,46,17,12,477,1390,59,486
태인면,관내사전투표,1115,1115,652,25,12,10,371,1070,45,0
태인면,선거일투표,820,334,186,21,5,2,106,320,14,486
감곡면,계,748,748,388,16,12,6,296,718,30,0
감곡면,관내사전투표,748,748,388,16,12,6,296,718,30,0
옹동면,계,463,463,245,9,10,5,177,446,17,0
옹동면,관내사전투표,463,463,245,9,10,5,177,446,17,0
칠보면,계,1488,1077,537,25,19,15,425,1021,56,411
칠보면,관내사전투표,725,725,371,10,11,9,284,685,40,0
칠보면,선거일투표,763,352,166,15,8,6,141,336,16,411
산내면,계,449,449,188,17,13,6,186,410,39,0
산내면,관내사전투표,449,449,188,17,13,6,186,410,39,0
산외면,계,683,683,375,16,7,9,245,652,31,0
산외면,관내사전투표,683,683,375,16,7,9,245,652,31,0
수성동,계,8775,5465,3090,190,70,53,1944,5347,118,3310
수성동,관내사전투표,3455,3453,1969,70,38,33,1277,3387,66,2
수성동,선거일투표,5320,2012,1121,120,32,20,667,1960,52,3308
장명동,계,2041,1219,658,37,12,8,456,1171,48,822
장명동,관내사전투표,662,662,358,15,4,6,258,641,21,0
장명동,선거일투표,1379,557,300,22,8,2,198,530,27,822
내장상동,계,11729,7930,4279,204,87,81,3102,7753,177,3799
내장상동,관내사전투표,4694,4694,2585,76,50,33,1875,4619,75,0
내장상동,선거일투표,7035,3236,1694,128,37,48,1227,3134,102,3799
시기동,계,2447,1694,788,51,17,18,772,1646,48,753
시기동,관내사전투표,879,879,406,14,13,7,423,863,16,0
시기동,선거일투표,1568,815,382,37,4,11,349,783,32,753
초산동,계,6511,4134,2213,107,47,30,1654,4051,83,2377
초산동,관내사전투표,2091,2090,1133,32,23,17,849,2054,36,1
초산동,선거일투표,4420,2044,1080,75,24,13,805,1997,47,2376
연지동,계,4422,2999,1546,87,34,28,1231,2926,73,1423
연지동,관내사전투표,1613,1612,835,31,18,12,680,1576,36,1
연지동,선거일투표,2809,1387,711,56,16,16,551,1350,37,1422
농소동,계,3452,2005,1046,64,25,16,796,1947,58,1447
농소동,관내사전투표,858,858,455,18,15,4,344,836,22,0
농소동,선거일투표,2594,1147,591,46,10,12,452,1111,36,1447
상교동,계,3020,1810,949,64,32,14,671,1730,80,1210
상교동,관내사전투표,1007,1007,547,19,20,5,370,961,46,0
상교동,선거일투표,2013,803,402,45,12,9,301,769,34,1210
