읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 이원택,국민의힘 양정무,진보당 백승재,무소속 김성수,무소속 김관영,계,무효 투표수,기권자수
합계,,3793,3787,1670,99,98,55,1696,3618,169,6
거소투표,,66,60,30,3,2,2,21,58,2,6
용담면,계,350,350,176,11,4,6,139,336,14,0
용담면,관내사전투표,350,350,176,11,4,6,139,336,14,0
동향면,계,604,604,281,16,15,9,247,568,36,0
동향면,관내사전투표,604,604,281,16,15,9,247,568,36,0
상전면,계,250,250,115,5,5,2,110,237,13,0
상전면,관내사전투표,250,250,115,5,5,2,110,237,13,0
성수면,계,545,545,257,6,16,6,240,525,20,0
성수면,관내사전투표,545,545,257,6,16,6,240,525,20,0
마령면,계,593,593,270,13,14,11,261,569,24,0
마령면,관내사전투표,593,593,270,13,14,11,261,569,24,0
부귀면,계,861,861,316,18,22,10,462,828,33,0
부귀면,관내사전투표,861,861,316,18,22,10,462,828,33,0
주천면,계,524,524,225,27,20,9,216,497,27,0
주천면,관내사전투표,524,524,225,27,20,9,216,497,27,0
