읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 위성곤,국민의힘 문성유,무소속 양윤녕,계,무효 투표수,기권자수
합계,,379921,210516,130518,69942,6728,207188,3328,169405
관외사전투표,,34301,34288,23760,8817,1189,33766,522,13
한림읍,계,16389,8223,4633,3158,255,8046,177,8166
한림읍,관내사전투표,2601,2601,1777,721,60,2558,43,0
한림읍,선거일투표,13788,5622,2856,2437,195,5488,134,8166
애월읍,계,19569,10164,6158,3524,289,9971,193,9405
애월읍,관내사전투표,2574,2571,1919,554,57,2530,41,3
애월읍,선거일투표,16995,7593,4239,2970,232,7441,152,9402
구좌읍,계,11936,7041,4134,2388,303,6825,216,4895
구좌읍,관내사전투표,1927,1927,1326,487,67,1880,47,0
구좌읍,선거일투표,10009,5114,2808,1901,236,4945,169,4895
조천읍,계,20528,11436,6801,3837,530,11168,268,9092
조천읍,관내사전투표,3410,3410,2460,765,113,3338,72,0
조천읍,선거일투표,17118,8026,4341,3072,417,7830,196,9092
한경면,계,7438,4619,2696,1667,117,4480,139,2819
한경면,관내사전투표,1491,1492,1002,404,30,1436,56,-1
한경면,선거일투표,5947,3127,1694,1263,87,3044,83,2820
추자면,계,1203,761,490,232,8,730,31,442
추자면,관내사전투표,336,336,247,72,4,323,13,0
추자면,선거일투표,867,425,243,160,4,407,18,442
우도면,계,1231,715,472,203,12,687,28,516
우도면,관내사전투표,397,395,287,82,7,376,19,2
우도면,선거일투표,834,320,185,121,5,311,9,514
일도1동,계,1811,790,450,311,12,773,17,1021
일도1동,관내사전투표,300,299,203,89,1,293,6,1
일도1동,선거일투표,1511,491,247,222,11,480,11,1020
일도2동,계,21785,11630,6938,4157,356,11451,179,10155
일도2동,관내사전투표,2992,2992,2084,771,91,2946,46,0
일도2동,선거일투표,18793,8638,4854,3386,265,8505,133,10155
이도1동,계,6104,2750,1524,1100,86,2710,40,3354
이도1동,관내사전투표,718,718,504,188,23,715,3,0
이도1동,선거일투표,5386,2032,1020,912,63,1995,37,3354
이도2동,계,29867,14993,8908,5468,430,14806,187,14874
이도2동,관내사전투표,3102,3101,2194,778,79,3051,50,1
이도2동,선거일투표,26765,11892,6714,4690,351,11755,137,14873
삼도1동,계,10075,5247,2875,2142,150,5167,80,4828
삼도1동,관내사전투표,1679,1678,1059,552,39,1650,28,1
삼도1동,선거일투표,8396,3569,1816,1590,111,3517,52,4827
삼도2동,계,6097,2828,1560,1133,88,2781,47,3269
삼도2동,관내사전투표,566,566,389,148,15,552,14,0
삼도2동,선거일투표,5531,2262,1171,985,73,2229,33,3269
용담1동,계,5208,2598,1429,1065,74,2568,30,2610
용담1동,관내사전투표,871,871,560,272,28,860,11,0
용담1동,선거일투표,4337,1727,869,793,46,1708,19,2610
용담2동,계,10730,5648,3035,2350,161,5546,102,5082
용담2동,관내사전투표,1827,1827,1105,649,42,1796,31,0
용담2동,선거일투표,8903,3821,1930,1701,119,3750,71,5082
건입동,계,6828,3262,1888,1260,74,3222,40,3566
건입동,관내사전투표,1042,1042,730,280,18,1028,14,0
건입동,선거일투표,5786,2220,1158,980,56,2194,26,3566
화북동,계,13376,7062,4526,2225,195,6946,116,6314
화북동,관내사전투표,2343,2342,1710,514,65,2289,53,1
화북동,선거일투표,11033,4720,2816,1711,130,4657,63,6313
삼양동,계,15809,8395,5726,2331,259,8316,79,7414
삼양동,관내사전투표,3152,3151,2425,627,71,3123,28,1
삼양동,선거일투표,12657,5244,3301,1704,188,5193,51,7413
봉개동,계,1703,1292,915,324,34,1273,19,411
봉개동,관내사전투표,945,945,718,189,25,932,13,0
봉개동,선거일투표,758,347,197,135,9,341,6,411
아라동,계,29767,15302,10050,4583,492,15125,177,14465
아라동,관내사전투표,5438,5436,4103,1102,171,5376,60,2
아라동,선거일투표,24329,9866,5947,3481,321,9749,117,14463
오라동,계,11055,5521,3531,1777,152,5460,61,5534
오라동,관내사전투표,1557,1556,1136,363,41,1540,16,1
오라동,선거일투표,9498,3965,2395,1414,111,3920,45,5533
연동,계,34662,14842,8468,5781,419,14668,174,19820
연동,관내사전투표,3828,3827,2591,1104,104,3799,28,1
연동,선거일투표,30834,11015,5877,4677,315,10869,146,19819
노형동,계,41506,20131,12207,6967,707,19881,250,21375
노형동,관내사전투표,4994,4992,3671,1098,167,4936,56,2
노형동,선거일투표,36512,15139,8536,5869,540,14945,194,21373
외도동,계,14832,7832,5373,2117,232,7722,110,7000
외도동,관내사전투표,2824,2823,2209,514,69,2792,31,1
외도동,선거일투표,12008,5009,3164,1603,163,4930,79,6999
이호동,계,3572,1838,1164,589,57,1810,28,1734
이호동,관내사전투표,662,662,469,168,15,652,10,0
이호동,선거일투표,2910,1176,695,421,42,1158,18,1734
도두동,계,2539,1308,807,436,47,1290,18,1231
도두동,관내사전투표,406,406,291,99,11,401,5,0
도두동,선거일투표,2133,902,516,337,36,889,13,1231
