읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 박수현,국민의힘 김태흠,계,무효 투표수,기권자수
합계,,90788,59980,31345,27557,58902,1078,30808
거소투표,,138,122,52,57,109,13,16
관외사전투표,,7149,7141,4705,2350,7055,86,8
유구읍,계,6118,4149,1667,2385,4052,97,1969
유구읍,관내사전투표,1330,1327,764,522,1286,41,3
유구읍,선거일투표,4788,2822,903,1863,2766,56,1966
이인면,계,2539,1673,780,859,1639,34,866
이인면,관내사전투표,546,541,344,186,530,11,5
이인면,선거일투표,1993,1132,436,673,1109,23,861
탄천면,계,2309,1440,644,716,1360,80,869
탄천면,관내사전투표,500,500,279,169,448,52,0
탄천면,선거일투표,1809,940,365,547,912,28,869
계룡면,계,4321,2764,1272,1425,2697,67,1557
계룡면,관내사전투표,953,951,546,369,915,36,2
계룡면,선거일투표,3368,1813,726,1056,1782,31,1555
반포면,계,3498,2176,931,1207,2138,38,1322
반포면,관내사전투표,763,762,469,281,750,12,1
반포면,선거일투표,2735,1414,462,926,1388,26,1321
의당면,계,4059,2633,1390,1191,2581,52,1426
의당면,관내사전투표,1236,1236,813,398,1211,25,0
의당면,선거일투표,2823,1397,577,793,1370,27,1426
정안면,계,3862,2408,1103,1243,2346,62,1454
정안면,관내사전투표,918,916,544,340,884,32,2
정안면,선거일투표,2944,1492,559,903,1462,30,1452
우성면,계,4066,2708,1236,1416,2652,56,1358
우성면,관내사전투표,643,641,403,222,625,16,2
우성면,선거일투표,3423,2067,833,1194,2027,40,1356
사곡면,계,2270,1478,685,759,1444,34,792
사곡면,관내사전투표,564,564,324,223,547,17,0
사곡면,선거일투표,1706,914,361,536,897,17,792
신풍면,계,2488,1631,724,877,1601,30,857
신풍면,관내사전투표,681,680,388,282,670,10,1
신풍면,선거일투표,1807,951,336,595,931,20,856
중학동,계,3538,2261,1151,1061,2212,49,1277
중학동,관내사전투표,731,730,510,203,713,17,1
중학동,선거일투표,2807,1531,641,858,1499,32,1276
웅진동,계,6139,3970,2054,1854,3908,62,2169
웅진동,관내사전투표,1637,1633,1065,543,1608,25,4
웅진동,선거일투표,4502,2337,989,1311,2300,37,2165
금학동,계,4267,2561,1437,1096,2533,28,1706
금학동,관내사전투표,908,904,640,254,894,10,4
금학동,선거일투표,3359,1657,797,842,1639,18,1702
옥룡동,계,6025,3721,1803,1836,3639,82,2304
옥룡동,관내사전투표,1315,1314,828,456,1284,30,1
옥룡동,선거일투표,4710,2407,975,1380,2355,52,2303
신관동,계,16289,9553,5236,4186,9422,131,6736
신관동,관내사전투표,3487,3473,2455,962,3417,56,14
신관동,선거일투표,12802,6080,2781,3224,6005,75,6722
월송동,계,11713,7591,4475,3039,7514,77,4122
월송동,관내사전투표,2837,2836,2045,758,2803,33,1
월송동,선거일투표,8876,4755,2430,2281,4711,44,4121
