읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 박수현,국민의힘 김태흠,계,무효 투표수,기권자수
합계,,50467,37515,22236,14710,36946,569,12952
관외사전투표,,7780,7774,4922,2739,7661,113,6
염치읍,계,651,651,420,215,635,16,0
염치읍,관내사전투표,651,651,420,215,635,16,0
음봉면,계,2661,2654,2014,615,2629,25,7
음봉면,관내사전투표,2661,2654,2014,615,2629,25,7
영인면,계,970,970,535,389,924,46,0
영인면,관내사전투표,970,970,535,389,924,46,0
인주면,계,979,978,639,321,960,18,1
인주면,관내사전투표,979,978,639,321,960,18,1
선장면,계,2455,1492,519,942,1461,31,963
선장면,관내사전투표,451,451,241,199,440,11,0
선장면,선거일투표,2004,1041,278,743,1021,20,963
도고면,계,3835,2274,843,1387,2230,44,1561
도고면,관내사전투표,789,789,436,330,766,23,0
도고면,선거일투표,3046,1485,407,1057,1464,21,1561
신창면,계,2055,2053,1430,597,2027,26,2
신창면,관내사전투표,2055,2053,1430,597,2027,26,2
온양1동,계,8073,3996,1989,1960,3949,47,4077
온양1동,관내사전투표,1277,1277,825,431,1256,21,0
온양1동,선거일투표,6796,2719,1164,1529,2693,26,4077
온양2동,계,1431,1430,815,585,1400,30,1
온양2동,관내사전투표,1431,1430,815,585,1400,30,1
온양3동,계,4504,4501,3145,1299,4444,57,3
온양3동,관내사전투표,4504,4501,3145,1299,4444,57,3
온양4동,계,12598,6267,3165,3019,6184,83,6331
온양4동,관내사전투표,1423,1423,971,431,1402,21,0
온양4동,선거일투표,11175,4844,2194,2588,4782,62,6331
온양6동,계,2475,2475,1800,642,2442,33,0
온양6동,관내사전투표,2475,2475,1800,642,2442,33,0
