읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 박수현,국민의힘 김태흠,계,무효 투표수,기권자수
합계,,7147,7125,4288,2668,6956,169,22
거소투표,,275,259,106,136,242,17,16
광덕면,계,553,553,335,210,545,8,0
광덕면,관내사전투표,553,553,335,210,545,8,0
북면,계,452,452,278,150,428,24,0
북면,관내사전투표,452,452,278,150,428,24,0
수신면,계,401,401,244,149,393,8,0
수신면,관내사전투표,401,401,244,149,393,8,0
병천면,계,1195,1195,716,452,1168,27,0
병천면,관내사전투표,1195,1195,716,452,1168,27,0
동면,계,397,397,166,219,385,12,0
동면,관내사전투표,397,397,166,219,385,12,0
중앙동,계,847,847,474,353,827,20,0
중앙동,관내사전투표,847,847,474,353,827,20,0
문성동,계,1026,1022,734,272,1006,16,4
문성동,관내사전투표,1026,1022,734,272,1006,16,4
원성1동,계,850,850,528,308,836,14,0
원성1동,관내사전투표,850,850,528,308,836,14,0
원성2동,계,1151,1149,707,419,1126,23,2
원성2동,관내사전투표,1151,1149,707,419,1126,23,2
