읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 박수현,국민의힘 김태흠,계,무효 투표수,기권자수
합계,,33027,32967,23600,9017,32617,350,60
거소투표,,323,303,125,148,273,30,20
성환읍,계,2898,2895,1846,1006,2852,43,3
성환읍,관내사전투표,2898,2895,1846,1006,2852,43,3
성거읍,계,2007,2006,1398,589,1987,19,1
성거읍,관내사전투표,2007,2006,1398,589,1987,19,1
직산읍,계,2574,2572,1707,830,2537,35,2
직산읍,관내사전투표,2574,2572,1707,830,2537,35,2
입장면,계,1245,1244,756,465,1221,23,1
입장면,관내사전투표,1245,1244,756,465,1221,23,1
쌍용2동,계,3592,3588,2547,1004,3551,37,4
쌍용2동,관내사전투표,3592,3588,2547,1004,3551,37,4
쌍용3동,계,2355,2352,1701,625,2326,26,3
쌍용3동,관내사전투표,2355,2352,1701,625,2326,26,3
백석동,계,2940,2937,2200,718,2918,19,3
백석동,관내사전투표,2940,2937,2200,718,2918,19,3
불당1동,계,2319,2318,1752,552,2304,14,1
불당1동,관내사전투표,2319,2318,1752,552,2304,14,1
불당2동,계,4159,4156,3043,1081,4124,32,3
불당2동,관내사전투표,4159,4156,3043,1081,4124,32,3
부성1동,계,4234,4220,3173,1015,4188,32,14
부성1동,관내사전투표,4234,4220,3173,1015,4188,32,14
부성2동,계,4381,4376,3352,984,4336,40,5
부성2동,관내사전투표,4381,4376,3352,984,4336,40,5
