읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 박수현,국민의힘 김태흠,계,무효 투표수,기권자수
합계,,4379,4080,1987,1862,3849,231,299
고남면,계,542,542,273,222,495,47,0
고남면,관내사전투표,542,542,273,222,495,47,0
남면,계,792,792,442,319,761,31,0
남면,관내사전투표,792,792,442,319,761,31,0
근흥면,계,1101,1100,515,522,1037,63,1
근흥면,관내사전투표,1101,1100,515,522,1037,63,1
원북면,계,824,824,395,382,777,47,0
원북면,관내사전투표,824,824,395,382,777,47,0
이원면,계,1120,822,362,417,779,43,298
이원면,관내사전투표,527,527,244,247,491,36,0
이원면,선거일투표,593,295,118,170,288,7,298
