읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 신용한,국민의힘 김영환,계,무효 투표수,기권자수
합계,,26576,21488,11302,9518,20820,668,5088
거소투표,,155,113,50,56,106,7,42
관외사전투표,,3841,3838,2417,1348,3765,73,3
옥천읍,계,6554,6552,4246,2159,6405,147,2
옥천읍,관내사전투표,6554,6552,4246,2159,6405,147,2
동이면,계,2640,1787,717,1008,1725,62,853
동이면,관내사전투표,703,700,372,308,680,20,3
동이면,선거일투표,1937,1087,345,700,1045,42,850
안남면,계,1161,875,371,462,833,42,286
안남면,관내사전투표,395,394,213,161,374,20,1
안남면,선거일투표,766,481,158,301,459,22,285
안내면,계,1658,1170,407,711,1118,52,488
안내면,관내사전투표,428,427,192,205,397,30,1
안내면,선거일투표,1230,743,215,506,721,22,487
청성면,계,1801,1156,475,639,1114,42,645
청성면,관내사전투표,471,471,221,221,442,29,0
청성면,선거일투표,1330,685,254,418,672,13,645
청산면,계,800,800,387,366,753,47,0
청산면,관내사전투표,800,800,387,366,753,47,0
이원면,계,3511,2213,971,1156,2127,86,1298
이원면,관내사전투표,1052,1052,541,453,994,58,0
이원면,선거일투표,2459,1161,430,703,1133,28,1298
군서면,계,1919,1334,548,751,1299,35,585
군서면,관내사전투표,506,506,279,213,492,14,0
군서면,선거일투표,1413,828,269,538,807,21,585
군북면,계,2536,1650,713,862,1575,75,886
군북면,관내사전투표,715,715,393,274,667,48,0
군북면,선거일투표,1821,935,320,588,908,27,886
