읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 신용한,국민의힘 김영환,계,무효 투표수,기권자수
합계,,157556,89292,48455,39605,88060,1232,68264
거소투표,,225,215,102,109,211,4,10
관외사전투표,,4119,4117,2765,1271,4036,81,2
낭성면,계,1891,1229,459,726,1185,44,662
낭성면,관내사전투표,500,500,257,211,468,32,0
낭성면,선거일투표,1391,729,202,515,717,12,662
미원면,계,3993,2418,969,1388,2357,61,1575
미원면,관내사전투표,1059,1058,509,513,1022,36,1
미원면,선거일투표,2934,1360,460,875,1335,25,1574
가덕면,계,3225,2050,915,1095,2010,40,1175
가덕면,관내사전투표,766,766,459,285,744,22,0
가덕면,선거일투표,2459,1284,456,810,1266,18,1175
남일면,계,5585,3335,1588,1693,3281,54,2250
남일면,관내사전투표,1263,1261,816,424,1240,21,2
남일면,선거일투표,4322,2074,772,1269,2041,33,2248
문의면,계,3094,1879,823,1015,1838,41,1215
문의면,관내사전투표,656,655,397,242,639,16,1
문의면,선거일투표,2438,1224,426,773,1199,25,1214
중앙동,계,5250,2936,1338,1560,2898,38,2314
중앙동,관내사전투표,865,863,584,266,850,13,2
중앙동,선거일투표,4385,2073,754,1294,2048,25,2312
성안동,계,5808,3295,1502,1740,3242,53,2513
성안동,관내사전투표,1304,1303,856,429,1285,18,1
성안동,선거일투표,4504,1992,646,1311,1957,35,2512
탑·대성동,계,8778,4876,2204,2588,4792,84,3902
탑·대성동,관내사전투표,1373,1372,800,552,1352,20,1
탑·대성동,선거일투표,7405,3504,1404,2036,3440,64,3901
영운동,계,8382,4459,2186,2187,4373,86,3923
영운동,관내사전투표,1462,1461,926,504,1430,31,1
영운동,선거일투표,6920,2998,1260,1683,2943,55,3922
금천동,계,22872,12538,6778,5615,12393,145,10334
금천동,관내사전투표,3266,3262,2242,980,3222,40,4
금천동,선거일투표,19606,9276,4536,4635,9171,105,10330
용담·명암·산성동,계,9526,5674,3409,2207,5616,58,3852
용담·명암·산성동,관내사전투표,2072,2071,1538,512,2050,21,1
용담·명암·산성동,선거일투표,7454,3603,1871,1695,3566,37,3851
용암제1동,계,41968,21962,12634,9052,21686,276,20006
용암제1동,관내사전투표,4453,4453,3217,1179,4396,57,0
용암제1동,선거일투표,37515,17509,9417,7873,17290,219,20006
용암제2동,계,32840,18309,10783,7359,18142,167,14531
용암제2동,관내사전투표,4081,4077,3055,988,4043,34,4
용암제2동,선거일투표,28759,14232,7728,6371,14099,133,14527
