읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 신용한,국민의힘 김영환,계,무효 투표수,기권자수
합계,,44340,23023,10905,11691,22596,427,21317
거소투표,,253,234,114,101,215,19,19
남이면,계,5532,3333,1736,1556,3292,41,2199
남이면,관내사전투표,1117,1115,698,395,1093,22,2
남이면,선거일투표,4415,2218,1038,1161,2199,19,2197
현도면,계,2526,1468,593,835,1428,40,1058
현도면,관내사전투표,480,480,270,201,471,9,0
현도면,선거일투표,2046,988,323,634,957,31,1058
사직제1동,계,2239,1563,790,735,1525,38,676
사직제1동,관내사전투표,491,490,328,152,480,10,1
사직제1동,선거일투표,1748,1073,462,583,1045,28,675
사직제2동,계,7681,4800,2394,2331,4725,75,2881
사직제2동,관내사전투표,837,835,593,231,824,11,2
사직제2동,선거일투표,6844,3965,1801,2100,3901,64,2879
사창동,계,8055,2911,1094,1770,2864,47,5144
사창동,선거일투표,8055,2911,1094,1770,2864,47,5144
분평동,계,710,342,130,196,326,16,368
분평동,선거일투표,710,342,130,196,326,16,368
수곡제1동,계,6009,3314,1644,1600,3244,70,2695
수곡제1동,관내사전투표,1203,1200,793,383,1176,24,3
수곡제1동,선거일투표,4806,2114,851,1217,2068,46,2692
수곡제2동,계,2821,1237,513,704,1217,20,1584
수곡제2동,선거일투표,2821,1237,513,704,1217,20,1584
성화·개신·죽림동,계,8514,3821,1897,1863,3760,61,4693
성화·개신·죽림동,선거일투표,8514,3821,1897,1863,3760,61,4693
