읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 신용한,국민의힘 김영환,계,무효 투표수,기권자수
합계,,77655,42472,23169,18570,41739,733,35183
거소투표,,215,206,103,95,198,8,9
관외사전투표,,2680,2679,1847,798,2645,34,1
오창읍,계,10921,4942,2820,2058,4878,64,5979
오창읍,선거일투표,10921,4942,2820,2058,4878,64,5979
내수읍,계,11406,4741,2269,2376,4645,96,6665
내수읍,선거일투표,11406,4741,2269,2376,4645,96,6665
북이면,계,3562,2031,897,1096,1993,38,1531
북이면,관내사전투표,550,550,329,215,544,6,0
북이면,선거일투표,3012,1481,568,881,1449,32,1531
우암동,계,6533,3519,1729,1727,3456,63,3014
우암동,관내사전투표,1517,1517,938,557,1495,22,0
우암동,선거일투표,5016,2002,791,1170,1961,41,3014
내덕제1동,계,3170,2200,1109,1032,2141,59,970
내덕제1동,관내사전투표,1376,1376,809,540,1349,27,0
내덕제1동,선거일투표,1794,824,300,492,792,32,970
내덕제2동,계,7823,4652,2462,2114,4576,76,3171
내덕제2동,관내사전투표,1694,1694,1110,567,1677,17,0
내덕제2동,선거일투표,6129,2958,1352,1547,2899,59,3171
율량·사천동,계,22348,12703,7345,5147,12492,211,9645
율량·사천동,관내사전투표,4073,4070,2886,1137,4023,47,3
율량·사천동,선거일투표,18275,8633,4459,4010,8469,164,9642
오근장동,계,8997,4799,2588,2127,4715,84,4198
오근장동,관내사전투표,1034,1033,684,333,1017,16,1
오근장동,선거일투표,7963,3766,1904,1794,3698,68,4197
