읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 신용한,국민의힘 김영환,계,무효 투표수,기권자수
합계,,60612,42648,26854,15157,42011,637,17964
관외사전투표,,5862,5858,3863,1904,5767,91,4
오송읍,계,12565,9057,5468,3488,8956,101,3508
오송읍,관내사전투표,4971,4971,3515,1395,4910,61,0
오송읍,선거일투표,7594,4086,1953,2093,4046,40,3508
강내면,계,5483,3713,2411,1226,3637,76,1770
강내면,관내사전투표,2269,2269,1664,564,2228,41,0
강내면,선거일투표,3214,1444,747,662,1409,35,1770
옥산면,계,5365,3462,2149,1240,3389,73,1903
옥산면,관내사전투표,2164,2160,1571,556,2127,33,4
옥산면,선거일투표,3201,1302,578,684,1262,40,1899
운천·신봉동,계,2782,1360,673,670,1343,17,1422
운천·신봉동,선거일투표,2782,1360,673,670,1343,17,1422
복대제1동,계,4844,4792,3520,1237,4757,35,52
복대제1동,관내사전투표,4844,4792,3520,1237,4757,35,52
복대제2동,계,5834,3317,1833,1439,3272,45,2517
복대제2동,관내사전투표,1717,1716,1169,523,1692,24,1
복대제2동,선거일투표,4117,1601,664,916,1580,21,2516
가경동,계,3358,1533,788,711,1499,34,1825
가경동,선거일투표,3358,1533,788,711,1499,34,1825
봉명제1동,계,1427,1426,970,432,1402,24,1
봉명제1동,관내사전투표,1427,1426,970,432,1402,24,1
봉명제2·송정동,계,5723,3357,2136,1135,3271,86,2366
봉명제2·송정동,관내사전투표,2470,2470,1712,684,2396,74,0
봉명제2·송정동,선거일투표,3253,887,424,451,875,12,2366
강서제1동,계,7369,4773,3043,1675,4718,55,2596
강서제1동,관내사전투표,2764,2762,1996,731,2727,35,2
강서제1동,선거일투표,4605,2011,1047,944,1991,20,2594
