읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 신용한,국민의힘 김영환,계,무효 투표수,기권자수
합계,,11270,11263,6639,4358,10997,266,7
주덕읍,계,1261,1259,747,487,1234,25,2
주덕읍,관내사전투표,1261,1259,747,487,1234,25,2
살미면,계,410,410,242,153,395,15,0
살미면,관내사전투표,410,410,242,153,395,15,0
수안보면,계,558,556,274,267,541,15,2
수안보면,관내사전투표,558,556,274,267,541,15,2
대소원면,계,1415,1415,914,472,1386,29,0
대소원면,관내사전투표,1415,1415,914,472,1386,29,0
신니면,계,499,499,271,220,491,8,0
신니면,관내사전투표,499,499,271,220,491,8,0
노은면,계,520,520,265,239,504,16,0
노은면,관내사전투표,520,520,265,239,504,16,0
앙성면,계,687,687,391,283,674,13,0
앙성면,관내사전투표,687,687,391,283,674,13,0
중앙탑면,계,1180,1179,849,304,1153,26,1
중앙탑면,관내사전투표,1180,1179,849,304,1153,26,1
금가면,계,451,451,283,161,444,7,0
금가면,관내사전투표,451,451,283,161,444,7,0
동량면,계,566,565,319,226,545,20,1
동량면,관내사전투표,566,565,319,226,545,20,1
산척면,계,429,429,228,191,419,10,0
산척면,관내사전투표,429,429,228,191,419,10,0
엄정면,계,705,705,323,362,685,20,0
엄정면,관내사전투표,705,705,323,362,685,20,0
소태면,계,287,287,149,133,282,5,0
소태면,관내사전투표,287,287,149,133,282,5,0
성내·충인동,계,292,291,147,138,285,6,1
성내·충인동,관내사전투표,292,291,147,138,285,6,1
교현2동,계,521,521,300,207,507,14,0
교현2동,관내사전투표,521,521,300,207,507,14,0
지현동,계,813,813,518,278,796,17,0
지현동,관내사전투표,813,813,518,278,796,17,0
달천동,계,676,676,419,237,656,20,0
달천동,관내사전투표,676,676,419,237,656,20,0
